inclusion_filter,story_condition,comparison,operator,count
all_finishers,all,Bill ? Clark,>,204
all_finishers,all,Bill ? Clark,≥,122
all_finishers,all,Bill ? Clark,≤,64
all_finishers,all,Bill ? Clark,<,42
all_finishers,all,CH ? CC,>,262
all_finishers,all,CH ? CC,≥,98
all_finishers,all,CH ? CC,≤,42
all_finishers,all,CH ? CC,<,30
all_finishers,all,DIV ? CC,>,125
all_finishers,all,DIV ? CC,≥,97
all_finishers,all,DIV ? CC,≤,107
all_finishers,all,DIV ? CC,<,102
all_finishers,parade,Bill ? Clark,>,128
all_finishers,parade,Bill ? Clark,≥,44
all_finishers,parade,Bill ? Clark,≤,22
all_finishers,parade,Bill ? Clark,<,24
all_finishers,parade,CH ? CC,>,167
all_finishers,parade,CH ? CC,≥,30
all_finishers,parade,CH ? CC,≤,12
all_finishers,parade,CH ? CC,<,9
all_finishers,parade,DIV ? CC,>,78
all_finishers,parade,DIV ? CC,≥,57
all_finishers,parade,DIV ? CC,≤,43
all_finishers,parade,DIV ? CC,<,40
all_finishers,trolley,Bill ? Clark,>,76
all_finishers,trolley,Bill ? Clark,≥,78
all_finishers,trolley,Bill ? Clark,≤,42
all_finishers,trolley,Bill ? Clark,<,18
all_finishers,trolley,CH ? CC,>,95
all_finishers,trolley,CH ? CC,≥,68
all_finishers,trolley,CH ? CC,≤,30
all_finishers,trolley,CH ? CC,<,21
all_finishers,trolley,DIV ? CC,>,47
all_finishers,trolley,DIV ? CC,≥,40
all_finishers,trolley,DIV ? CC,≤,64
all_finishers,trolley,DIV ? CC,<,62
