inclusion_filter,story_condition,operator,Bill ? Clark,CH ? CC,DIV ? CC
all_finishers,all,>,204,262,125
all_finishers,all,≥,122,98,97
all_finishers,all,≤,64,42,107
all_finishers,all,<,42,30,102
all_finishers,parade,>,128,167,78
all_finishers,parade,≥,44,30,57
all_finishers,parade,≤,22,12,43
all_finishers,parade,<,24,9,40
all_finishers,trolley,>,76,95,47
all_finishers,trolley,≥,78,68,40
all_finishers,trolley,≤,42,30,64
all_finishers,trolley,<,18,21,62
included_only,all,>,141,174,82
included_only,all,≥,84,70,67
included_only,all,≤,37,22,74
included_only,all,<,20,16,59
included_only,parade,>,92,116,55
included_only,parade,≥,29,20,40
included_only,parade,≤,13,5,26
included_only,parade,<,13,6,26
included_only,trolley,>,49,58,27
included_only,trolley,≥,55,50,27
included_only,trolley,≤,24,17,48
included_only,trolley,<,7,10,33
