response_id,start_date,end_date,story_condition,load_condition,cognitive_load_digits_response,cognitive_load_digits_correct_bool,vignette_condition_order,vignette_condition_position_1,vignette_condition_position_2,vignette_condition_position_3,first_vignette_distal_blame,first_vignette_distal_wrong,first_vignette_distal_punish,distal_blame_ch_minus_cc,distal_blame_div_minus_cc,proximate_blame_cc_minus_ch,distal_wrong_ch_minus_cc,distal_wrong_div_minus_cc,proximate_wrong_cc_minus_ch,distal_punish_ch_minus_cc,distal_punish_div_minus_cc,proximate_punish_cc_minus_ch,distal_blame_min_ch_div_minus_cc,distal_wrong_min_ch_div_minus_cc,distal_punish_min_ch_div_minus_cc,twoafc_bill_vs_clark,twoafc_ch_vs_cc,twoafc_div_vs_cc,distal_blame_cc,distal_blame_ch,distal_blame_div,distal_wrong_cc,distal_wrong_ch,distal_wrong_div,distal_punish_cc,distal_punish_ch,distal_punish_div,proximate_blame_cc,proximate_blame_ch,proximate_wrong_cc,proximate_wrong_ch,proximate_punish_cc,proximate_punish_ch,comprehension_probability_same_bool,comprehension_distal_necessary_bool,comprehension_bill_necessary_bool,comprehension_all_correct_bool,crt_score,individualism_horizontal,individualism_vertical,individualism_score,included,age,gender,race_compact,political_compact,duration_seconds,q_recaptcha_score,consent_form,cog_load_check,crt_bat_ball,crt_widgets,crt_lilly_pads,incdol_hi_1_1,indcol_hi_2_1,indcol_hi_3_1,indcol_vi_1_1,indcol_vi_2_1,indcol_vi_3_1,indcol_vi_4_1,indcol_hc_1_1,indcol_hc_2_1,indcol_hc_3_1,indcol_hc_4_1,indcol_vc_1_1,indcol_vc_2_1,indcol_vc_3_1,id,bill_minus_distal_cc_blame,bill_minus_distal_ch_blame,bill_minus_distal_cc_wrong,bill_minus_distal_ch_wrong,bill_minus_distal_cc_punish,bill_minus_distal_ch_punish,distal_cc_timing_first_click_seconds,distal_cc_timing_last_click_seconds,distal_cc_timing_last_minus_first_seconds,distal_ch_timing_first_click_seconds,distal_ch_timing_last_click_seconds,distal_ch_timing_last_minus_first_seconds,distal_div_timing_first_click_seconds,distal_div_timing_last_click_seconds,distal_div_timing_last_minus_first_seconds,proximate_cc_timing_first_click_seconds,proximate_cc_timing_last_click_seconds,proximate_cc_timing_last_minus_first_seconds,proximate_ch_timing_first_click_seconds,proximate_ch_timing_last_click_seconds,proximate_ch_timing_last_minus_first_seconds,comprehension_timing_first_click_seconds,comprehension_timing_last_click_seconds,comprehension_timing_last_minus_first_seconds
R_610F0ghKouCU2TX,2026-02-20 05:36:00,2026-02-20 05:47:00,firework,low,63,True,DIV-CH-CC,DIV,CH,CC,9.0,9.0,15.0,3.0,3.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,3.0,2.0,4.0,Bill ≤ Clark,CH > CC,DIV ≤ CC,6.0,9.0,9.0,7.0,9.0,9.0,11.0,15.0,15.0,9.0,9.0,9.0,9.0,20.0,20.0,True,False,True,False,0.0,0.421875,0.515625,0.46875,False,18,Female,Black or African American,Liberal/progressive,664.0,1,I CONSENT to participate in this study,63,10,20,6,(9) totally agree,(9) totally agree,6,6,(7) agree,(3) disagree,(5) neither agree nor disagree,(9) totally agree,8,(9) totally agree,(9) totally agree,4,(7) agree,4,94481,3.0,0.0,2.0,0.0,9.0,5.0,31.147,37.814,6.667000000000002,55.628,62.945,7.317,101.549,126.032,24.48299999999999,26.589,31.873,5.2840000000000025,17.412,22.797,5.385000000000002,5.39,17.206,11.815999999999999
R_37WQ6iKvFzaWAjI,2026-02-20 07:05:00,2026-02-20 07:22:00,trolley,low,63,True,CH-DIV-CC,CH,DIV,CC,6.0,9.0,5.0,0.0,0.0,-3.0,0.0,-2.0,0.0,0.0,0.0,-20.0,0.0,-2.0,0.0,Bill ≥ Clark,CH > CC,DIV ≤ CC,6.0,6.0,6.0,9.0,9.0,7.0,5.0,5.0,5.0,6.0,9.0,9.0,9.0,5.0,25.0,True,True,True,True,0.0,0.546875,0.4635416666666667,0.5052083333333334,True,18,Female,Black or African American,Nonpolitical,1030.0,1,I CONSENT to participate in this study,63,10,100,24,(7) agree,(7) agree,(7) agree,(5) neither agree nor disagree,6,6,6,(5) neither agree nor disagree,6,(7) agree,(7) agree,(5) neither agree nor disagree,(7) agree,(7) agree,94586,0.0,3.0,0.0,0.0,0.0,20.0,172.955,187.935,14.97999999999999,144.168,213.814,69.64599999999999,127.115,162.096,34.98100000000001,17.75,22.566,4.815999999999999,20.941,43.757,22.816,7.086,24.021,16.935000000000002
R_6eLiXUpEuyTJw8V,2026-02-20 07:10:00,2026-02-20 07:23:00,firework,high,842,False,CH-CC-DIV,CH,CC,DIV,5.0,5.0,2.0,-1.0,0.0,1.0,-3.0,0.0,0.0,0.0,-1.0,1.0,-1.0,-3.0,-1.0,Bill ≥ Clark,CH > CC,DIV > CC,6.0,5.0,6.0,8.0,5.0,8.0,2.0,2.0,1.0,8.0,7.0,9.0,9.0,3.0,2.0,True,True,True,True,3.0,0.34375,0.453125,0.3984375,True,20,Male,White,Moderate,737.0,1,I CONSENT to participate in this study,842,5,5,47,(5) neither agree nor disagree,(3) disagree,(7) agree,8,(5) neither agree nor disagree,(5) neither agree nor disagree,(7) agree,(5) neither agree nor disagree,(9) totally agree,(7) agree,(9) totally agree,(7) agree,(7) agree,(7) agree,93449,2.0,2.0,1.0,4.0,1.0,0.0,4.305,68.087,63.782000000000004,62.852,81.513,18.66100000000001,58.881,70.738,11.857,53.508,59.625,6.116999999999997,32.643,40.293,7.649999999999999,12.071,31.621,19.549999999999997
R_51bwmNtuVf0HN3b,2026-02-20 07:24:00,2026-02-20 07:32:00,trolley,high,8403952,False,CC-DIV-CH,CC,DIV,CH,5.0,7.0,20.0,0.0,0.0,-2.0,-2.0,0.0,4.0,0.0,0.0,20.0,0.0,-2.0,0.0,Bill > Clark,CH < CC,DIV > CC,5.0,5.0,5.0,7.0,5.0,7.0,20.0,20.0,20.0,5.0,7.0,5.0,1.0,20.0,0.0,False,False,False,False,0.0,0.59375,0.6458333333333333,0.6197916666666666,False,19,Female,Asian,Liberal/progressive,437.0,1,I CONSENT to participate in this study,8403952,10,100,24,(7) agree,(7) agree,8,(7) agree,6,8,(7) agree,(5) neither agree nor disagree,6,(7) agree,6,4,4,6,93380,0.0,2.0,-2.0,-4.0,0.0,-20.0,59.157,76.077,16.92,12.348,21.468,9.12,9.302,22.255,12.953,9.59,21.715,12.125,5.498,21.152,15.654,17.593,28.278,10.684999999999999
R_7h4ktfpxIy0uUO0,2026-02-20 07:52:00,2026-02-20 08:03:00,firework,low,63,True,DIV-CH-CC,DIV,CH,CC,7.0,4.0,5.0,1.0,0.0,-4.0,1.0,0.0,-4.0,5.0,0.0,-8.0,0.0,0.0,0.0,Bill ≥ Clark,CH > CC,DIV ≤ CC,7.0,8.0,7.0,4.0,5.0,4.0,5.0,10.0,5.0,5.0,9.0,3.0,7.0,2.0,10.0,True,True,True,True,3.0,0.4375,0.4479166666666667,0.44270833333333337,True,18,Female,White,Liberal/progressive,658.0,1,I CONSENT to participate in this study,63,5,5,47,(7) agree,6,(7) agree,6,2,(7) agree,(3) disagree,(7) agree,8,(7) agree,8,6,(5) neither agree nor disagree,(5) neither agree nor disagree,94300,-2.0,1.0,-1.0,2.0,-3.0,0.0,56.903,73.42,16.517000000000003,31.892,57.592,25.7,81.248,112.032,30.783999999999992,7.765,25.964,18.198999999999998,10.467,28.734,18.267000000000003,8.619,27.404,18.785
R_70c1Mwc8UqNyoNJ,2026-02-20 07:57:00,2026-02-20 08:16:00,trolley,high,8420539,False,CC-CH-DIV,CC,CH,DIV,6.0,3.0,0.0,2.0,1.0,6.0,4.0,3.0,6.0,1.0,1.0,3.0,1.0,3.0,1.0,Bill > Clark,CH > CC,DIV > CC,6.0,8.0,7.0,3.0,7.0,6.0,0.0,1.0,1.0,9.0,3.0,9.0,3.0,3.0,0.0,True,True,True,True,2.0,0.4375,0.4322916666666667,0.43489583333333337,True,19,Male,White,Moderate,1153.0,1,I CONSENT to participate in this study,8420539,10,5,47,(7) agree,(7) agree,(5) neither agree nor disagree,(5) neither agree nor disagree,(7) agree,6,(3) disagree,(7) agree,(7) agree,(7) agree,(7) agree,(5) neither agree nor disagree,(9) totally agree,(5) neither agree nor disagree,93940,3.0,-5.0,6.0,-4.0,3.0,-1.0,144.82,215.891,71.071,85.856,105.136,19.28,81.032,117.767,36.735,54.288,73.606,19.317999999999998,23.032,71.384,48.352000000000004,8.342,23.775,15.432999999999998
R_7tXqqeztR0Wu4p3,2026-02-20 08:52:00,2026-02-20 09:01:00,firework,low,63,True,CH-CC-DIV,CH,CC,DIV,6.0,6.0,5.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,Bill < Clark,CH ≥ CC,DIV ≤ CC,5.0,6.0,4.0,5.0,6.0,4.0,3.0,5.0,2.0,3.0,4.0,3.0,4.0,1.0,2.0,True,True,True,True,0.0,0.515625,0.5,0.5078125,True,20,Female,Asian,Nonpolitical,519.0,1,I CONSENT to participate in this study,63,10,100,24,(7) agree,6,(7) agree,(5) neither agree nor disagree,4,6,(5) neither agree nor disagree,6,8,(5) neither agree nor disagree,6,(5) neither agree nor disagree,(5) neither agree nor disagree,(5) neither agree nor disagree,93479,-2.0,-2.0,-2.0,-2.0,-2.0,-3.0,29.712,63.354,33.641999999999996,46.429,107.258,60.82899999999999,16.276,21.011,4.734999999999999,8.735,20.587,11.852,10.906,20.681,9.775,6.035,28.736,22.701
R_1r7HB5dtevNHuvE,2026-02-20 08:55:00,2026-02-20 09:12:00,firework,low,63,True,DIV-CC-CH,DIV,CC,CH,5.0,8.0,5.0,1.0,-2.0,6.0,1.0,1.0,1.0,1.0,-2.0,18.0,-2.0,1.0,-2.0,Bill ≥ Clark,CH > CC,DIV ≥ CC,7.0,8.0,5.0,7.0,8.0,8.0,7.0,8.0,5.0,9.0,3.0,9.0,8.0,20.0,2.0,True,True,True,True,2.0,0.546875,0.546875,0.546875,True,20,Male,White,Liberal/progressive,997.0,1,I CONSENT to participate in this study,63,10,5,47,(9) totally agree,8,8,(7) agree,4,(7) agree,(5) neither agree nor disagree,(7) agree,8,(7) agree,(7) agree,(5) neither agree nor disagree,(7) agree,(3) disagree,93853,2.0,-5.0,2.0,0.0,13.0,-6.0,51.907,68.677,16.77000000000001,69.994,85.131,15.137,7.884,217.85,209.966,51.325,62.662,11.336999999999996,16.07,27.754,11.684000000000001,7.256,23.805,16.549
R_77s60JDvXiH2VbL,2026-02-20 09:09:00,2026-02-20 09:27:00,trolley,high,8403529,False,CH-DIV-CC,CH,DIV,CC,8.0,9.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0,-1.0,5.0,1.0,1.0,-1.0,Bill > Clark,CH ≥ CC,,7.0,8.0,8.0,7.0,9.0,8.0,3.0,2.0,2.0,7.0,6.0,6.0,6.0,5.0,0.0,True,True,False,False,1.0,0.5625,0.421875,0.4921875,False,19,Male,White,Conservative,1056.0,1,I CONSENT to participate in this study,8403529,5,100,24,(7) agree,(7) agree,(7) agree,(7) agree,6,4,6,(5) neither agree nor disagree,(5) neither agree nor disagree,6,8,(5) neither agree nor disagree,8,8,95373,0.0,-2.0,-1.0,-3.0,2.0,-2.0,4.203,20.92,16.717000000000002,520.586,549.77,29.18399999999997,119.174,130.658,11.48399999999998,8.665,34.582,25.917,3.516,23.433,19.917,7.162,27.998,20.836000000000002
R_516KTffOA37zy9i,2026-02-20 09:20:00,2026-02-20 09:33:00,trolley,low,63,True,DIV-CH-CC,DIV,CH,CC,4.0,5.0,20.0,5.0,1.0,0.0,4.0,1.0,0.0,30.0,0.0,0.0,1.0,1.0,0.0,Bill ≤ Clark,CH ≥ CC,DIV ≤ CC,3.0,8.0,4.0,4.0,8.0,5.0,20.0,50.0,20.0,4.0,4.0,4.0,4.0,20.0,20.0,True,True,True,True,2.0,0.359375,0.5364583333333333,0.44791666666666663,True,20,Female,Asian,Nonpolitical,807.0,0.899999976,I CONSENT to participate in this study,63,5,100,47,(5) neither agree nor disagree,(3) disagree,6,6,(5) neither agree nor disagree,6,4,(7) agree,(7) agree,6,(7) agree,(3) disagree,(5) neither agree nor disagree,6,94558,1.0,-4.0,0.0,-4.0,0.0,-30.0,55.48,61.499,6.0190000000000055,37.219,42.286,5.067,144.068,270.855,126.787,18.774,21.342,2.567999999999998,4.962,39.461,34.498999999999995,22.522,37.372,14.850000000000001
