inclusion_filter,story_condition,load_condition,analysis_scope,agent_role,dv,condition,n,mean,median,std
included_only,all,all,within_subjects_all_vignettes,clark,blame,CC,282,6.060283687943262,6.0,1.7736457189406796
included_only,all,all,within_subjects_all_vignettes,clark,blame,CH,282,7.0638297872340425,7.0,1.6562735945594347
included_only,all,all,within_subjects_all_vignettes,clark,blame,DIV,282,6.663120567375887,7.0,1.6735289433415284
included_only,all,all,within_subjects_all_vignettes,clark,wrongness,CC,282,6.23404255319149,6.0,1.9555134133844632
included_only,all,all,within_subjects_all_vignettes,clark,wrongness,CH,282,7.042553191489362,7.0,1.8972628361412105
included_only,all,all,within_subjects_all_vignettes,clark,wrongness,DIV,282,6.595744680851064,7.0,1.8995362738249006
included_only,all,all,within_subjects_all_vignettes,clark,punishment,CC,282,6.326241134751773,3.0,9.489455810834214
included_only,all,all,within_subjects_all_vignettes,clark,punishment,CH,282,8.620567375886525,5.0,10.643762597841826
included_only,all,all,within_subjects_all_vignettes,clark,punishment,DIV,282,7.776595744680851,5.0,9.808654311465583
included_only,all,all,within_subjects_all_vignettes,proximate,blame,CC,282,7.624113475177305,8.0,1.6338893496826477
included_only,all,all,within_subjects_all_vignettes,proximate,blame,CH,282,5.152482269503546,5.5,2.7144291276451398
included_only,all,all,within_subjects_all_vignettes,proximate,wrongness,CC,282,7.723404255319149,8.0,1.7066184040145969
included_only,all,all,within_subjects_all_vignettes,proximate,wrongness,CH,282,5.73404255319149,6.5,2.6831842183838597
included_only,all,all,within_subjects_all_vignettes,proximate,punishment,CC,282,12.159574468085106,7.0,12.697944344090077
included_only,all,all,within_subjects_all_vignettes,proximate,punishment,CH,282,6.879432624113475,3.0,10.783191861559468
included_only,all,all,between_subjects_first_vignette,clark,blame,CC,95,5.7894736842105265,6.0,1.8444553877748309
included_only,all,all,between_subjects_first_vignette,clark,blame,CH,93,6.817204301075269,7.0,1.4813788858558636
included_only,all,all,between_subjects_first_vignette,clark,blame,DIV,94,6.457446808510638,7.0,1.7206206283206669
included_only,all,all,between_subjects_first_vignette,clark,wrongness,CC,95,6.368421052631579,7.0,1.9243823633579518
included_only,all,all,between_subjects_first_vignette,clark,wrongness,CH,93,6.795698924731183,7.0,1.8856387441887663
included_only,all,all,between_subjects_first_vignette,clark,wrongness,DIV,94,6.25531914893617,7.0,2.015724049922466
included_only,all,all,between_subjects_first_vignette,clark,punishment,CC,95,6.315789473684211,3.0,10.945963171070932
included_only,all,all,between_subjects_first_vignette,clark,punishment,CH,93,8.741935483870968,5.0,10.94045467003528
included_only,all,all,between_subjects_first_vignette,clark,punishment,DIV,94,5.840425531914893,3.0,7.383945373534471
included_only,all,all,within_subjects_deltas,clark,blame,CH-CC,282,1.00354609929078,1.0,1.8084385568444197
included_only,all,all,within_subjects_deltas,clark,blame,DIV-CC,282,0.6028368794326241,0.0,1.7570576854365918
included_only,all,all,within_subjects_deltas,clark,blame,"MIN(CH,DIV)-CC",282,0.14893617021276595,0.0,1.6954457321857
included_only,all,all,within_subjects_deltas,proximate,blame,CC-CH_proximate,282,2.471631205673759,2.0,2.9529363211704225
included_only,all,all,within_subjects_deltas,clark,wrongness,CH-CC,282,0.8085106382978723,1.0,1.8861355684172603
included_only,all,all,within_subjects_deltas,clark,wrongness,DIV-CC,282,0.3617021276595745,0.0,1.8551710772602428
included_only,all,all,within_subjects_deltas,clark,wrongness,"MIN(CH,DIV)-CC",282,-0.07092198581560284,0.0,1.8392532527360002
included_only,all,all,within_subjects_deltas,proximate,wrongness,CC-CH_proximate,282,1.9893617021276595,1.0,2.7961387236588284
included_only,all,all,within_subjects_deltas,clark,punishment,CH-CC,282,2.2943262411347516,1.0,6.694282609152012
included_only,all,all,within_subjects_deltas,clark,punishment,DIV-CC,282,1.450354609929078,0.0,7.272970718808874
included_only,all,all,within_subjects_deltas,clark,punishment,"MIN(CH,DIV)-CC",282,-0.07801418439716312,0.0,6.3906859738904345
included_only,all,all,within_subjects_deltas,proximate,punishment,CC-CH_proximate,282,5.280141843971631,3.0,10.215971863635819
included_only,all,high,within_subjects_all_vignettes,clark,blame,CC,131,5.969465648854962,6.0,1.7094260453673193
included_only,all,high,within_subjects_all_vignettes,clark,blame,CH,131,7.099236641221374,7.0,1.582864792476754
included_only,all,high,within_subjects_all_vignettes,clark,blame,DIV,131,6.519083969465649,7.0,1.6518108712662454
included_only,all,high,within_subjects_all_vignettes,clark,wrongness,CC,131,6.221374045801527,6.0,1.9346638600338815
included_only,all,high,within_subjects_all_vignettes,clark,wrongness,CH,131,7.129770992366412,7.0,1.7948513825979084
included_only,all,high,within_subjects_all_vignettes,clark,wrongness,DIV,131,6.519083969465649,7.0,1.9625381722428423
included_only,all,high,within_subjects_all_vignettes,clark,punishment,CC,131,5.816793893129771,2.0,8.817640995114942
included_only,all,high,within_subjects_all_vignettes,clark,punishment,CH,131,8.374045801526718,5.0,10.569430432120008
included_only,all,high,within_subjects_all_vignettes,clark,punishment,DIV,131,6.5038167938931295,5.0,7.583762051810765
included_only,all,high,within_subjects_all_vignettes,proximate,blame,CC,131,7.7251908396946565,8.0,1.539497595943379
included_only,all,high,within_subjects_all_vignettes,proximate,blame,CH,131,5.129770992366412,6.0,2.7129233354584796
included_only,all,high,within_subjects_all_vignettes,proximate,wrongness,CC,131,7.816793893129771,8.0,1.5432310097651878
included_only,all,high,within_subjects_all_vignettes,proximate,wrongness,CH,131,5.816793893129771,7.0,2.679843642733822
included_only,all,high,within_subjects_all_vignettes,proximate,punishment,CC,131,11.419847328244275,7.0,11.172049050040554
included_only,all,high,within_subjects_all_vignettes,proximate,punishment,CH,131,6.259541984732825,3.0,10.01351992693228
included_only,all,high,between_subjects_first_vignette,clark,blame,CC,51,5.803921568627451,6.0,1.6494800131330751
included_only,all,high,between_subjects_first_vignette,clark,blame,CH,39,6.666666666666667,7.0,1.4749368110164003
included_only,all,high,between_subjects_first_vignette,clark,blame,DIV,41,6.2439024390243905,6.0,1.7717292090621248
included_only,all,high,between_subjects_first_vignette,clark,wrongness,CC,51,6.529411764705882,7.0,1.9010832825152146
included_only,all,high,between_subjects_first_vignette,clark,wrongness,CH,39,6.410256410256411,7.0,1.8738919352927468
included_only,all,high,between_subjects_first_vignette,clark,wrongness,DIV,41,6.170731707317073,6.0,2.143623556322218
included_only,all,high,between_subjects_first_vignette,clark,punishment,CC,51,6.176470588235294,2.0,10.997646807118223
included_only,all,high,between_subjects_first_vignette,clark,punishment,CH,39,8.23076923076923,5.0,11.022612018414783
included_only,all,high,between_subjects_first_vignette,clark,punishment,DIV,41,5.439024390243903,4.0,5.70985455369839
included_only,all,high,within_subjects_deltas,clark,blame,CH-CC,131,1.1297709923664123,1.0,1.7514694778292512
included_only,all,high,within_subjects_deltas,clark,blame,DIV-CC,131,0.549618320610687,0.0,1.8982329453306557
included_only,all,high,within_subjects_deltas,clark,blame,"MIN(CH,DIV)-CC",131,0.22137404580152673,0.0,1.7641301030683556
included_only,all,high,within_subjects_deltas,proximate,blame,CC-CH_proximate,131,2.595419847328244,2.0,3.1568694959849033
included_only,all,high,within_subjects_deltas,clark,wrongness,CH-CC,131,0.9083969465648855,1.0,1.7778568847800533
included_only,all,high,within_subjects_deltas,clark,wrongness,DIV-CC,131,0.29770992366412213,0.0,2.1508304531704443
included_only,all,high,within_subjects_deltas,clark,wrongness,"MIN(CH,DIV)-CC",131,-0.015267175572519083,0.0,2.0754415019624415
included_only,all,high,within_subjects_deltas,proximate,wrongness,CC-CH_proximate,131,2.0,1.0,2.914156428935772
included_only,all,high,within_subjects_deltas,clark,punishment,CH-CC,131,2.5572519083969465,1.0,7.30875166163406
included_only,all,high,within_subjects_deltas,clark,punishment,DIV-CC,131,0.6870229007633588,0.0,7.555012568808614
included_only,all,high,within_subjects_deltas,clark,punishment,"MIN(CH,DIV)-CC",131,-0.5419847328244275,0.0,7.0941574465674355
included_only,all,high,within_subjects_deltas,proximate,punishment,CC-CH_proximate,131,5.1603053435114505,3.0,10.358063966630896
included_only,all,low,within_subjects_all_vignettes,clark,blame,CC,151,6.139072847682119,6.0,1.829534494889662
included_only,all,low,within_subjects_all_vignettes,clark,blame,CH,151,7.033112582781457,7.0,1.7220809835507982
included_only,all,low,within_subjects_all_vignettes,clark,blame,DIV,151,6.788079470198675,7.0,1.687638474410041
included_only,all,low,within_subjects_all_vignettes,clark,wrongness,CC,151,6.245033112582782,7.0,1.9797874883169273
included_only,all,low,within_subjects_all_vignettes,clark,wrongness,CH,151,6.966887417218543,7.0,1.9846652733497954
included_only,all,low,within_subjects_all_vignettes,clark,wrongness,DIV,151,6.662251655629139,7.0,1.8471145686125086
included_only,all,low,within_subjects_all_vignettes,clark,punishment,CC,151,6.768211920529802,3.0,10.044198131995918
included_only,all,low,within_subjects_all_vignettes,clark,punishment,CH,151,8.834437086092715,5.0,10.738361429054967
included_only,all,low,within_subjects_all_vignettes,clark,punishment,DIV,151,8.880794701986755,5.0,11.302464127978393
included_only,all,low,within_subjects_all_vignettes,proximate,blame,CC,151,7.5364238410596025,8.0,1.711820997016865
included_only,all,low,within_subjects_all_vignettes,proximate,blame,CH,151,5.172185430463577,5.0,2.7246078357663963
included_only,all,low,within_subjects_all_vignettes,proximate,wrongness,CC,151,7.642384105960265,8.0,1.8379132038299202
included_only,all,low,within_subjects_all_vignettes,proximate,wrongness,CH,151,5.662251655629139,6.0,2.6929226185652966
included_only,all,low,within_subjects_all_vignettes,proximate,punishment,CC,151,12.801324503311259,8.0,13.891973638303844
included_only,all,low,within_subjects_all_vignettes,proximate,punishment,CH,151,7.417218543046357,3.0,11.414819382944867
included_only,all,low,between_subjects_first_vignette,clark,blame,CC,44,5.7727272727272725,6.0,2.0670576365276494
included_only,all,low,between_subjects_first_vignette,clark,blame,CH,54,6.925925925925926,7.0,1.4902431339157678
included_only,all,low,between_subjects_first_vignette,clark,blame,DIV,53,6.622641509433962,7.0,1.6782135086309855
included_only,all,low,between_subjects_first_vignette,clark,wrongness,CC,44,6.181818181818182,6.0,1.9561795617481714
included_only,all,low,between_subjects_first_vignette,clark,wrongness,CH,54,7.074074074074074,7.5,1.861748537545018
included_only,all,low,between_subjects_first_vignette,clark,wrongness,DIV,53,6.320754716981132,7.0,1.9292643566681096
included_only,all,low,between_subjects_first_vignette,clark,punishment,CC,44,6.4772727272727275,3.0,11.010541748629295
included_only,all,low,between_subjects_first_vignette,clark,punishment,CH,54,9.11111111111111,5.0,10.969368442401652
included_only,all,low,between_subjects_first_vignette,clark,punishment,DIV,53,6.150943396226415,3.0,8.497502407755547
included_only,all,low,within_subjects_deltas,clark,blame,CH-CC,151,0.8940397350993378,1.0,1.8552711136319842
included_only,all,low,within_subjects_deltas,clark,blame,DIV-CC,151,0.6490066225165563,0.0,1.6297184848788608
included_only,all,low,within_subjects_deltas,clark,blame,"MIN(CH,DIV)-CC",151,0.08609271523178808,0.0,1.636827815627913
included_only,all,low,within_subjects_deltas,proximate,blame,CC-CH_proximate,151,2.3642384105960264,2.0,2.770038372077444
included_only,all,low,within_subjects_deltas,clark,wrongness,CH-CC,151,0.7218543046357616,0.0,1.9770649640223459
included_only,all,low,within_subjects_deltas,clark,wrongness,DIV-CC,151,0.41721854304635764,0.0,1.5593058964126305
included_only,all,low,within_subjects_deltas,clark,wrongness,"MIN(CH,DIV)-CC",151,-0.11920529801324503,0.0,1.612150333427917
included_only,all,low,within_subjects_deltas,proximate,wrongness,CC-CH_proximate,151,1.9801324503311257,1.0,2.6993090441209744
included_only,all,low,within_subjects_deltas,clark,punishment,CH-CC,151,2.066225165562914,1.0,6.127173218999863
