model_name,model_variant,analysis_scope,row_type,inclusion_filter,story_condition,contrast_label,display_label,estimate,standard_error,ci95_lower,ci95_upper,test_statistic,p_value,term_name,observed_standard_deviation,observed_median,n_model_rows,n_unique_participants,formula_string,analysis_meaning,likely_manuscript_use
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,contrast,included_only,firework,CH - CC,Between-subj | included_only | Firework | CH - CC,1.3331914893617096,0.3478401625790371,0.6514372983302399,2.014945680393179,3.832770429604369,0.00012670818791511173,,,,282,282,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Story-specific first-vignette model-based contrast for CH - CC in the firework story family.,Story-specific table
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,contrast,included_only,firework,CH - DIV,Between-subj | included_only | Firework | CH - DIV,0.6800000000000161,0.33227097124790655,0.028760863245975488,1.3312391367540568,2.046522443553066,0.04070499662663943,,,,282,282,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Story-specific first-vignette model-based contrast for CH - DIV in the firework story family.,Story-specific table
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,contrast,included_only,firework,DIV - CC,Between-subj | included_only | Firework | DIV - CC,0.6531914893616935,0.3820327825260354,-0.09557900530295882,1.4019619840263458,1.709778634814353,0.08730681526271841,,,,282,282,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Story-specific first-vignette model-based contrast for DIV - CC in the firework story family.,Story-specific table
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,contrast,included_only,pooled,CH - CC,Between-subj | included_only | Pooled | CH - CC,1.034328302820394,0.24599586395264714,0.5521852691273907,1.5164713365133973,4.20465729057744,2.6147804842251556e-05,,,,282,282,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Pooled first-vignette model-based contrast for CH - CC. Positive values mean more Clark blame in the left-hand condition.,Main table or story summary
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,contrast,included_only,pooled,CH - DIV,Between-subj | included_only | Pooled | CH - DIV,0.33841437632137233,0.2346590723380946,-0.12150895410687235,0.798337706749617,1.4421533885286484,0.14925910661459107,,,,282,282,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Pooled first-vignette model-based contrast for CH - DIV. Positive values mean more Clark blame in the left-hand condition.,Main table or story summary
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,contrast,included_only,pooled,DIV - CC,Between-subj | included_only | Pooled | DIV - CC,0.6959139264990217,0.2571177664154548,0.19197236453934807,1.1998554884586954,2.7065960326310297,0.006797691856626154,,,,282,282,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Pooled first-vignette model-based contrast for DIV - CC. Positive values mean more Clark blame in the left-hand condition.,Main table or story summary
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,contrast,included_only,trolley,CH - CC,Between-subj | included_only | Trolley | CH - CC,0.7354651162790784,0.34794120426334413,0.05351288718542957,1.4174173453727272,2.1137626336501136,0.03453554592198331,,,,282,282,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Story-specific first-vignette model-based contrast for CH - CC in the trolley story family.,Story-specific table
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,contrast,included_only,trolley,CH - DIV,Between-subj | included_only | Trolley | CH - DIV,-0.003171247357271506,0.33144459957626965,-0.6527907253970596,0.6464482306825167,-0.00956795603647107,0.9923659920771086,,,,282,282,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Story-specific first-vignette model-based contrast for CH - DIV in the trolley story family.,Story-specific table
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,contrast,included_only,trolley,DIV - CC,Between-subj | included_only | Trolley | DIV - CC,0.7386363636363499,0.3442225098701488,0.06397264162287497,1.4133000856498248,2.145810754546488,0.0318880802636564,,,,282,282,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Story-specific first-vignette model-based contrast for DIV - CC in the trolley story family.,Story-specific table
first_vignette_condition_story_model,primary_hc3_ols,between_subjects_first_vignette,omnibus_test,included_only,pooled,condition_by_story_interaction,Between-subj | included_only | Omnibus story interaction,,,,,2.5470507578447417,0.2798433269786233,condition_by_story_interaction,,,282,282,"first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework'))",Omnibus test of whether the condition contrasts differ across the firework and trolley story families.,Supplement or story-robustness paragraph
