model_name,model_variant,analysis_scope,row_type,inclusion_filter,story_condition,contrast_label,display_label,estimate,standard_error,ci95_lower,ci95_upper,test_statistic,p_value,term_name,observed_standard_deviation,observed_median,n_model_rows,n_unique_participants,formula_string,analysis_meaning,likely_manuscript_use
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,contrast,included_only,all,CH - CC,Within-subj | included_only | Pooled | CH - CC,0.991135335540142,0.10646319370469645,0.7824713101998255,1.1997993608804585,9.309652482240157,1.2825128224168992e-20,,,,846,282,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))","Pooled repeated-measures model-based contrast for CH - CC, averaging equally across story family and vignette position.",Main table or story summary
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,contrast,included_only,all,CH - DIV,Within-subj | included_only | Pooled | CH - DIV,0.3958623718091183,0.10822867529997166,0.18373806612669413,0.6079866774915426,3.6576477602809763,0.0002545405240296831,,,,846,282,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))","Pooled repeated-measures model-based contrast for CH - DIV, averaging equally across story family and vignette position.",Main table or story summary
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,contrast,included_only,all,DIV - CC,Within-subj | included_only | Pooled | DIV - CC,0.5952729637310237,0.10408450461270218,0.3912710833414343,0.799274844120613,5.719131449450914,1.0706994185272212e-08,,,,846,282,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))","Pooled repeated-measures model-based contrast for DIV - CC, averaging equally across story family and vignette position.",Main table or story summary
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,contrast,included_only,firework,CH - CC,Within-subj | included_only | Firework | CH - CC,1.224389429971077,0.13015163530289098,0.9692969122484187,1.479481947693735,9.407407191785628,5.085261086197722e-21,,,,846,282,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",Story-specific repeated-measures model-based contrast for CH - CC in the firework story family.,Story-specific table
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,contrast,included_only,firework,CH - DIV,Within-subj | included_only | Firework | CH - DIV,0.497047164360644,0.14103582372031337,0.2206220293388899,0.7734722993823981,3.524261788595874,0.0004246644602451501,,,,846,282,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",Story-specific repeated-measures model-based contrast for CH - DIV in the firework story family.,Story-specific table
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,contrast,included_only,firework,DIV - CC,Within-subj | included_only | Firework | DIV - CC,0.7273422656104329,0.1293719060147984,0.47377798921012726,0.9809065420107386,5.622103654615978,1.886460107811336e-08,,,,846,282,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",Story-specific repeated-measures model-based contrast for DIV - CC in the firework story family.,Story-specific table
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,contrast,included_only,trolley,CH - CC,Within-subj | included_only | Trolley | CH - CC,0.7578812411092071,0.16849943507768828,0.427628416941593,1.0881340652768212,4.497826599595297,6.865165202083931e-06,,,,846,282,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",Story-specific repeated-measures model-based contrast for CH - CC in the trolley story family.,Story-specific table
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,contrast,included_only,trolley,CH - DIV,Within-subj | included_only | Trolley | CH - DIV,0.2946775792575927,0.1640820614997056,-0.026917351790916533,0.616272510306102,1.795915876264886,0.07250789708231853,,,,846,282,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",Story-specific repeated-measures model-based contrast for CH - DIV in the trolley story family.,Story-specific table
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,contrast,included_only,trolley,DIV - CC,Within-subj | included_only | Trolley | DIV - CC,0.46320366185161443,0.1628688698607165,0.143986542721869,0.7824207809813599,2.844028218822545,0.004454710241659916,,,,846,282,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",Story-specific repeated-measures model-based contrast for DIV - CC in the trolley story family.,Story-specific table
within_subject_condition_position_model,position_sensitivity_gee_condition_by_position,within_subjects_repeated_measures,omnibus_test,included_only,all,condition_by_position_interaction,Within-subj | included_only | Omnibus condition-by-position interaction,,,,,0.5266531970728956,0.9708549546907204,condition_by_position_interaction,,,846,282,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(vignette_position, Treatment(reference=1)) + C(story_condition, Treatment(reference='firework'))",Omnibus test of whether the repeated-measures condition contrasts depend on vignette position.,Supplement or order-sensitivity paragraph
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,omnibus_test,included_only,all,condition_by_story_interaction,Within-subj | included_only | Omnibus story interaction,,,,,4.873931240658331,0.08742573224894784,condition_by_story_interaction,,,846,282,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",Omnibus test of whether the repeated-measures condition contrasts differ across story family.,Supplement or story-robustness paragraph
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,coefficient,included_only,all,,"C(story_condition, Treatment(reference='firework'))[T.trolley]",0.3227628386588994,0.20798813234858776,-0.08488640995608282,0.7304120872738815,1.5518329580360355,0.12070219769167354,"C(story_condition, Treatment(reference='firework'))[T.trolley]",,,846,282,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",How the CC baseline shifts in trolley relative to firework.,Supplement
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,coefficient,included_only,all,,"C(vignette_condition, Treatment(reference='CC'))[T.CH]",1.224389429971077,0.13015163530289098,0.9692969122484187,1.479481947693735,9.407407191785628,5.085261086197722e-21,"C(vignette_condition, Treatment(reference='CC'))[T.CH]",,,846,282,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",CH - CC when the vignette is first in the firework story family.,Supplement
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,coefficient,included_only,all,,"C(vignette_condition, Treatment(reference='CC'))[T.CH]:C(story_condition, Treatment(reference='firework'))[T.trolley]",-0.4665081888618698,0.21289755548577532,-0.8837797300106072,-0.04923664771313235,-2.1912331862966803,0.028434922223609417,"C(vignette_condition, Treatment(reference='CC'))[T.CH]:C(story_condition, Treatment(reference='firework'))[T.trolley]",,,846,282,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",How the CH - CC contrast changes in trolley relative to firework.,Supplement
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,coefficient,included_only,all,,"C(vignette_condition, Treatment(reference='CC'))[T.DIV]",0.7273422656104329,0.1293719060147984,0.47377798921012726,0.9809065420107386,5.622103654615978,1.886460107811336e-08,"C(vignette_condition, Treatment(reference='CC'))[T.DIV]",,,846,282,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",DIV - CC when the vignette is first in the firework story family.,Supplement
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,coefficient,included_only,all,,"C(vignette_condition, Treatment(reference='CC'))[T.DIV]:C(story_condition, Treatment(reference='firework'))[T.trolley]",-0.2641386037588185,0.2078277682826123,-0.6714735445800744,0.1431963370624374,-1.2709495268198834,0.20374660530948163,"C(vignette_condition, Treatment(reference='CC'))[T.DIV]:C(story_condition, Treatment(reference='firework'))[T.trolley]",,,846,282,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",How the DIV - CC contrast changes in trolley relative to firework.,Supplement
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,coefficient,included_only,all,,"C(vignette_position, Treatment(reference=1))[T.2]",0.35039312225435637,0.09931655145801008,0.15573625832793764,0.5450499861807752,3.528043584985919,0.0004186432186276869,"C(vignette_position, Treatment(reference=1))[T.2]",,,846,282,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",How appearing second changes the overall baseline relative to first.,Supplement
within_subject_condition_position_model,primary_gee_condition_story_plus_position,within_subjects_repeated_measures,coefficient,included_only,all,,"C(vignette_position, Treatment(reference=1))[T.3]",0.3833597027617225,0.10790050881261677,0.1718785915754469,0.594840813947998,3.5528998609958027,0.00038100947405287163,"C(vignette_position, Treatment(reference=1))[T.3]",,,846,282,"clark_rating_value ~ C(vignette_condition, Treatment(reference='CC')) * C(story_condition, Treatment(reference='firework')) + C(vignette_position, Treatment(reference=1))",How appearing third changes the overall baseline relative to first.,Supplement
