analysis_block,inclusion_filter,contrast_scope,contrast_label,estimate,std_error,ci95_lower,ci95_upper,test_statistic,p_value,n_observations,model_family,formula
Between-subjects first vignette (included participants),included_only,equal_weighted_pooled,CH_minus_CC,1.034328302820394,0.24599586395264714,0.5521852691273907,1.5164713365133973,4.20465729057744,2.6147804842251556e-05,282,first_vignette_clark_blame_hc3_ols,"first_vignette_clark_blame ~ C(case_code_position_1, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade""))"
Between-subjects first vignette (included participants),included_only,equal_weighted_pooled,DIV_minus_CC,0.6959139264990217,0.2571177664154548,0.19197236453934807,1.1998554884586954,2.7065960326310297,0.006797691856626154,282,first_vignette_clark_blame_hc3_ols,"first_vignette_clark_blame ~ C(case_code_position_1, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade""))"
Between-subjects first vignette (included participants),included_only,parade_only,CH_minus_CC,1.3331914893617096,0.3478401625790371,0.6514372983302399,2.014945680393179,3.832770429604369,0.00012670818791511173,282,first_vignette_clark_blame_hc3_ols,"first_vignette_clark_blame ~ C(case_code_position_1, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade""))"
Between-subjects first vignette (included participants),included_only,parade_only,DIV_minus_CC,0.6531914893616935,0.3820327825260354,-0.09557900530295882,1.4019619840263458,1.709778634814353,0.08730681526271841,282,first_vignette_clark_blame_hc3_ols,"first_vignette_clark_blame ~ C(case_code_position_1, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade""))"
Between-subjects first vignette (included participants),included_only,trolley_only,CH_minus_CC,0.7354651162790784,0.34794120426334413,0.05351288718542957,1.4174173453727272,2.1137626336501136,0.03453554592198331,282,first_vignette_clark_blame_hc3_ols,"first_vignette_clark_blame ~ C(case_code_position_1, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade""))"
Between-subjects first vignette (included participants),included_only,trolley_only,DIV_minus_CC,0.7386363636363499,0.3442225098701488,0.06397264162287497,1.4133000856498248,2.145810754546488,0.0318880802636564,282,first_vignette_clark_blame_hc3_ols,"first_vignette_clark_blame ~ C(case_code_position_1, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade""))"
Between-subjects first vignette (all completers),all_finishers,equal_weighted_pooled,CH_minus_CC,1.011253632908563,0.19732922024642693,0.6244954681281942,1.398011797688932,5.124702928667626,2.980072332391696e-07,432,first_vignette_clark_blame_hc3_ols,"first_vignette_clark_blame ~ C(case_code_position_1, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade""))"
Between-subjects first vignette (all completers),all_finishers,equal_weighted_pooled,DIV_minus_CC,0.4894541160003494,0.21422596983659062,0.06957893056746778,0.909329301433231,2.2847562150083855,0.02232712635583646,432,first_vignette_clark_blame_hc3_ols,"first_vignette_clark_blame ~ C(case_code_position_1, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade""))"
Between-subjects first vignette (all completers),all_finishers,parade_only,CH_minus_CC,1.1606025039123617,0.28288030248134166,0.6061672991131356,1.7150377087115878,4.102804238159754,4.0817259506362104e-05,432,first_vignette_clark_blame_hc3_ols,"first_vignette_clark_blame ~ C(case_code_position_1, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade""))"
Between-subjects first vignette (all completers),all_finishers,parade_only,DIV_minus_CC,0.4300469483568068,0.3055086155017251,-0.16873893499326964,1.0288328317068833,1.407642621307282,0.1592369201217656,432,first_vignette_clark_blame_hc3_ols,"first_vignette_clark_blame ~ C(case_code_position_1, Treatment(reference=""CC"")) * C(story_condition, Treatment(reference=""parade""))"
