inclusion_filter,model,outcome,term,estimate,std_error,t_value,p_value,n,r_squared
included_only,A_overall_individualism,clark_blame_ch_minus_cc,Intercept,1.8438846832213862,0.6414929454014573,2.874364708823807,0.004362264441707617,282,0.04414748085269393
included_only,A_overall_individualism,clark_blame_ch_minus_cc,C(load_condition)[T.low],-0.21366982340381005,0.2144569227771033,-0.9963298019802731,0.31995947279325165,282,0.04414748085269393
included_only,A_overall_individualism,clark_blame_ch_minus_cc,C(story_condition)[T.trolley],-0.5040778378855055,0.21534239501568594,-2.3408202451207414,0.019950975549520814,282,0.04414748085269393
included_only,A_overall_individualism,clark_blame_ch_minus_cc,crt_score,0.20750076861850839,0.08866182582422773,2.3403620068672977,0.019974985178087025,282,0.04414748085269393
included_only,A_overall_individualism,clark_blame_ch_minus_cc,individualism_score,-1.8580384224668176,1.276509656161571,-1.4555615881934552,0.14664623154634282,282,0.04414748085269393
included_only,B_horizontal_vertical,clark_blame_ch_minus_cc,Intercept,1.8525334959345876,0.6427790772210937,2.8820687567236734,0.004261224499872813,282,0.04475756094364647
included_only,B_horizontal_vertical,clark_blame_ch_minus_cc,C(load_condition)[T.low],-0.21854797217826205,0.21509055246437803,-1.0160742518640218,0.31048389577677343,282,0.04475756094364647
included_only,B_horizontal_vertical,clark_blame_ch_minus_cc,C(story_condition)[T.trolley],-0.49898109290162573,0.21600469023299637,-2.31004749185489,0.021623397671320804,282,0.04475756094364647
included_only,B_horizontal_vertical,clark_blame_ch_minus_cc,crt_score,0.2107436479640794,0.08912925968499238,2.364472101629769,0.01874813690390728,282,0.04475756094364647
included_only,B_horizontal_vertical,clark_blame_ch_minus_cc,individualism_horizontal,-0.5779826282727006,1.0524528943722407,-0.5491767197974703,0.5833282095449464,282,0.04475756094364647
included_only,B_horizontal_vertical,clark_blame_ch_minus_cc,individualism_vertical,-1.3092094816268753,1.108420154477224,-1.1811491123998477,0.23856028755120887,282,0.04475756094364647
included_only,A_overall_individualism,clark_blame_div_minus_cc,Intercept,0.7312053005872814,0.6354513688634393,1.1506864827360532,0.2508535968873181,282,0.0064099480409264276
included_only,A_overall_individualism,clark_blame_div_minus_cc,C(load_condition)[T.low],0.10521468784397543,0.21243716882290375,0.4952743836069792,0.6207991056542592,282,0.0064099480409264276
included_only,A_overall_individualism,clark_blame_div_minus_cc,C(story_condition)[T.trolley],-0.2564835515419213,0.2133143016894948,-1.202373912628065,0.23024550374449618,282,0.0064099480409264276
included_only,A_overall_individualism,clark_blame_div_minus_cc,crt_score,0.03285336135131371,0.08782680930447119,0.37406984964488715,0.7086385202598955,282,0.0064099480409264276
included_only,A_overall_individualism,clark_blame_div_minus_cc,individualism_score,-0.2613449721938551,1.2644874962227848,-0.20668055079590114,0.8364111880931354,282,0.0064099480409264276
included_only,B_horizontal_vertical,clark_blame_div_minus_cc,Intercept,0.7472386561315938,0.6362163961830831,1.1745039276173606,0.2412055993860654,282,0.008630997295233755
included_only,B_horizontal_vertical,clark_blame_div_minus_cc,C(load_condition)[T.low],0.0961714704345571,0.21289450915784136,0.45173297712086574,0.651816135809955,282,0.008630997295233755
included_only,B_horizontal_vertical,clark_blame_div_minus_cc,C(story_condition)[T.trolley],-0.24703509576480867,0.2137993137125876,-1.1554531746388121,0.2489041941776371,282,0.008630997295233755
included_only,B_horizontal_vertical,clark_blame_div_minus_cc,crt_score,0.03886508102417323,0.0882192628864105,0.44055096078296635,0.6598829575419869,282,0.008630997295233755
included_only,B_horizontal_vertical,clark_blame_div_minus_cc,individualism_horizontal,0.5200867025114138,1.0417075031514242,0.49926366176496006,0.6179913773594912,282,0.008630997295233755
included_only,B_horizontal_vertical,clark_blame_div_minus_cc,individualism_vertical,-0.8354774092514222,1.0971033456579564,-0.7615302720186023,0.446990604621329,282,0.008630997295233755
included_only,A_overall_individualism,clark_blame_min_ch_div_minus_cc,Intercept,1.149344523868922,0.6089466209437309,1.887430661964583,0.06014778277008062,282,0.020046883930175174
included_only,A_overall_individualism,clark_blame_min_ch_div_minus_cc,C(load_condition)[T.low],-0.14761418323671444,0.2035763906669004,-0.7251046290443695,0.468999934640273,282,0.020046883930175174
included_only,A_overall_individualism,clark_blame_min_ch_div_minus_cc,C(story_condition)[T.trolley],-0.35485343501886163,0.20441693822317467,-1.7359297037872963,0.08368823127088083,282,0.020046883930175174
included_only,A_overall_individualism,clark_blame_min_ch_div_minus_cc,crt_score,0.06832352077964607,0.08416354323051366,0.8117947291324974,0.4176064691371949,282,0.020046883930175174
included_only,A_overall_individualism,clark_blame_min_ch_div_minus_cc,individualism_score,-1.9245258515328652,1.2117455808265643,-1.5882260121139409,0.11337598698661376,282,0.020046883930175174
included_only,B_horizontal_vertical,clark_blame_min_ch_div_minus_cc,Intercept,1.155197564638759,0.6102633091312759,1.8929493996340852,0.059410696844486986,282,0.020364773804394387
included_only,B_horizontal_vertical,clark_blame_min_ch_div_minus_cc,C(load_condition)[T.low],-0.15091544603485713,0.20420993302592536,-0.739021083835808,0.4605222143188986,282,0.020364773804394387
included_only,B_horizontal_vertical,clark_blame_min_ch_div_minus_cc,C(story_condition)[T.trolley],-0.3514042383287106,0.20507782801418592,-1.7135164816764237,0.08774040202034168,282,0.020364773804394387
included_only,B_horizontal_vertical,clark_blame_min_ch_div_minus_cc,crt_score,0.07051812316620476,0.0846205467529168,0.8333451611002981,0.40537067713382857,282,0.020364773804394387
included_only,B_horizontal_vertical,clark_blame_min_ch_div_minus_cc,individualism_horizontal,-0.7247006730149967,0.9992132737131284,-0.7252712629826978,0.46890010190958087,282,0.020364773804394387
included_only,B_horizontal_vertical,clark_blame_min_ch_div_minus_cc,individualism_vertical,-1.2195547907540707,1.0523493613131452,-1.158887756849382,0.2475036294579098,282,0.020364773804394387
all_finishers,A_overall_individualism,clark_blame_ch_minus_cc,Intercept,1.220266972402664,0.5428549312476294,2.2478693701799046,0.0250941001842071,432,0.036839114139999185
all_finishers,A_overall_individualism,clark_blame_ch_minus_cc,C(load_condition)[T.low],-0.041145730912614434,0.18157693163381514,-0.22660219303403983,0.820841524594168,432,0.036839114139999185
all_finishers,A_overall_individualism,clark_blame_ch_minus_cc,C(story_condition)[T.trolley],-0.4533124021341213,0.18118162604388582,-2.5019777779470855,0.012723265052891206,432,0.036839114139999185
all_finishers,A_overall_individualism,clark_blame_ch_minus_cc,crt_score,0.229998744825747,0.07376087510112296,3.1181672466660504,0.0019429238509110504,432,0.036839114139999185
