response_id,start_date,end_date,story_condition,load_condition,cognitive_load_digits_response,cognitive_load_digits_correct_bool,vignette_condition_order,vignette_condition_position_1,vignette_condition_position_2,vignette_condition_position_3,first_vignette_distal_blame,first_vignette_distal_wrong,first_vignette_distal_punish,distal_blame_ch_minus_cc,distal_blame_div_minus_cc,proximate_blame_cc_minus_ch,distal_wrong_ch_minus_cc,distal_wrong_div_minus_cc,proximate_wrong_cc_minus_ch,distal_punish_ch_minus_cc,distal_punish_div_minus_cc,proximate_punish_cc_minus_ch,distal_blame_min_ch_div_minus_cc,distal_wrong_min_ch_div_minus_cc,distal_punish_min_ch_div_minus_cc,twoafc_bill_vs_clark,twoafc_ch_vs_cc,twoafc_div_vs_cc,distal_blame_cc,distal_blame_ch,distal_blame_div,distal_wrong_cc,distal_wrong_ch,distal_wrong_div,distal_punish_cc,distal_punish_ch,distal_punish_div,proximate_blame_cc,proximate_blame_ch,proximate_wrong_cc,proximate_wrong_ch,proximate_punish_cc,proximate_punish_ch,comprehension_probability_same_bool,comprehension_distal_necessary_bool,comprehension_bill_necessary_bool,comprehension_all_correct_bool,crt_score,individualism_horizontal,individualism_vertical,individualism_score,included,age,gender,race_compact,political_compact,duration_seconds,q_recaptcha_score,consent_form,cog_load_check,crt_bat_ball,crt_widgets,crt_lilly_pads,indcol_hi_1_1,indcol_hi_2_1,indcol_hi_3_1,indcol_vi_1_1,indcol_vi_2_1,indcol_vi_3_1,indcol_vi_4_1,indcol_hc_1_1,indcol_hc_2_1,indcol_hc_3_1,indcol_hc_4_1,indcol_vc_1_1,indcol_vc_2_1,indcol_vc_3_1,id,bill_minus_distal_cc_blame,bill_minus_distal_ch_blame,bill_minus_distal_cc_wrong,bill_minus_distal_ch_wrong,bill_minus_distal_cc_punish,bill_minus_distal_ch_punish,distal_cc_timing_first_click_seconds,distal_cc_timing_last_click_seconds,distal_cc_timing_last_minus_first_seconds,distal_ch_timing_first_click_seconds,distal_ch_timing_last_click_seconds,distal_ch_timing_last_minus_first_seconds,distal_div_timing_first_click_seconds,distal_div_timing_last_click_seconds,distal_div_timing_last_minus_first_seconds,proximate_cc_timing_first_click_seconds,proximate_cc_timing_last_click_seconds,proximate_cc_timing_last_minus_first_seconds,proximate_ch_timing_first_click_seconds,proximate_ch_timing_last_click_seconds,proximate_ch_timing_last_minus_first_seconds,comprehension_timing_first_click_seconds,comprehension_timing_last_click_seconds,comprehension_timing_last_minus_first_seconds
ROBOT_F2CCF34A,2026-05-02 15:55:00,2026-05-02 15:55:00,trolley,high,8403259,True,CC-DIV-CH,CC,DIV,CH,6.0,6.0,1.0,1.0,0.0,6.0,1.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,Bill ≥ Clark,CH ≥ CC,DIV ≤ CC,6.0,7.0,6.0,6.0,7.0,6.0,1.0,2.0,1.0,7.0,1.0,7.0,2.0,2.0,0.0,True,True,True,True,3.0,0.4479166666666667,0.3229166666666667,0.3854166666666667,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,claude-sonnet-4-6,ROBOT_PARTICIPANT,26,1,I CONSENT to participate in this study,8403259,5,5,47,6,6,5,4,2,5,3,7,7,6,6,7,5,7,ROBOT_F2CCF34A,1.0,-6.0,1.0,-5.0,1.0,-2.0,,,,,,,,,,,,,,,,,,
ROBOT_89BEF8F1,2026-05-02 15:55:00,2026-05-02 15:56:00,trolley,low,63,True,DIV-CC-CH,DIV,CC,CH,6.0,5.0,1.0,1.0,1.0,6.0,1.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,Bill ≥ Clark,CH ≥ CC,DIV ≥ CC,5.0,6.0,6.0,5.0,6.0,5.0,1.0,1.0,1.0,7.0,1.0,7.0,1.0,2.0,0.0,True,True,True,True,3.0,0.4479166666666667,0.3020833333333333,0.375,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,claude-sonnet-4-6,ROBOT_PARTICIPANT,75,1,I CONSENT to participate in this study,63,5,5,47,6,6,5,4,2,5,3,7,7,6,6,7,6,7,ROBOT_89BEF8F1,2.0,-5.0,2.0,-5.0,1.0,-1.0,,,,,,,,,,,,,,,,,,
ROBOT_EA8F816F,2026-05-02 15:56:00,2026-05-02 15:58:00,trolley,high,8403259,True,DIV-CH-CC,DIV,CH,CC,6.0,5.0,1.0,1.0,0.0,6.0,0.0,-1.0,6.0,0.0,0.0,1.0,0.0,-1.0,0.0,Bill ≥ Clark,CH ≥ CC,DIV < CC,6.0,7.0,6.0,6.0,6.0,5.0,1.0,1.0,1.0,7.0,1.0,7.0,1.0,1.0,0.0,True,True,True,True,3.0,0.4479166666666667,0.3177083333333333,0.3828125,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,claude-sonnet-4-6,ROBOT_PARTICIPANT,78,1,I CONSENT to participate in this study,8403259,5,5,47,6,6,5,4,2,5,4,7,7,6,6,7,6,7,ROBOT_EA8F816F,1.0,-6.0,1.0,-5.0,0.0,-1.0,,,,,,,,,,,,,,,,,,
ROBOT_D507DC8B,2026-05-02 17:35:00,2026-05-02 17:36:00,trolley,low,63,True,DIV-CH-CC,DIV,CH,CC,5.0,5.0,0.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Bill ≥ Clark,CH ≥ CC,DIV < CC,5.0,6.0,5.0,5.0,6.0,5.0,0.0,0.0,0.0,6.0,1.0,6.0,1.0,0.0,0.0,True,True,True,True,3.0,0.4479166666666667,0.3020833333333333,0.375,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,claude-sonnet-4-6,ROBOT_PARTICIPANT,37,1,I CONSENT to participate in this study,63,5,5,47,6,6,5,4,2,5,3,7,7,6,6,7,6,7,ROBOT_D507DC8B,1.0,-5.0,1.0,-5.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ROBOT_5F75C218,2026-05-02 17:36:00,2026-05-02 17:37:00,firework,low,63,True,CC-CH-DIV,CC,CH,DIV,8.0,8.0,5.0,1.0,1.0,7.0,1.0,1.0,7.0,5.0,10.0,20.0,1.0,1.0,5.0,Bill > Clark,CH > CC,DIV > CC,8.0,9.0,9.0,8.0,9.0,9.0,5.0,10.0,15.0,9.0,2.0,9.0,2.0,20.0,0.0,True,True,True,True,3.0,0.4583333333333333,0.31770833333333337,0.38802083333333337,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,gpt-4o,ROBOT_PARTICIPANT,41,1,I CONSENT to participate in this study,63,5,5,47,7,8,7,6,5,7,5,9,8,8,7,9,8,9,ROBOT_5F75C218,1.0,-7.0,1.0,-7.0,15.0,-10.0,,,,,,,,,,,,,,,,,,
ROBOT_955AA1C6,2026-05-02 17:37:00,2026-05-02 17:37:00,firework,low,63,True,DIV-CC-CH,DIV,CC,CH,7.0,6.0,5.0,2.0,1.0,6.0,2.0,1.0,7.0,4.0,2.0,10.0,1.0,1.0,2.0,Bill > Clark,CH > CC,DIV > CC,6.0,8.0,7.0,5.0,7.0,6.0,3.0,7.0,5.0,9.0,3.0,9.0,2.0,10.0,0.0,True,True,True,True,3.0,0.5416666666666667,0.4427083333333333,0.4921875,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,grok-3,ROBOT_PARTICIPANT,15,1,I CONSENT to participate in this study,63,5,5,47,7,6,7,5,3,4,3,7,6,5,6,5,4,5,ROBOT_955AA1C6,3.0,-5.0,4.0,-5.0,7.0,-7.0,,,,,,,,,,,,,,,,,,
ROBOT_C8B1C8CA,2026-05-02 19:20:00,2026-05-02 19:21:00,trolley,low,63,True,CC-CH-DIV,CC,CH,DIV,6.0,6.0,1.0,1.0,0.0,6.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,Bill ≥ Clark,CH ≥ CC,DIV ≤ CC,6.0,7.0,6.0,6.0,7.0,6.0,1.0,1.0,1.0,7.0,1.0,7.0,2.0,2.0,0.0,True,True,True,True,3.0,0.4479166666666667,0.3020833333333333,0.375,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,claude-sonnet-4-6,ROBOT_PARTICIPANT,42,1,I CONSENT to participate in this study,63,5,5,47,6,6,5,4,2,5,3,7,7,6,6,7,6,7,ROBOT_C8B1C8CA,1.0,-6.0,1.0,-5.0,1.0,-1.0,,,,,,,,,,,,,,,,,,
ROBOT_3FB5C86B,2026-05-02 19:21:00,2026-05-02 19:21:00,trolley,high,8403259,True,CH-DIV-CC,CH,DIV,CC,7.0,8.0,3.0,2.0,1.0,5.0,2.0,1.0,5.0,2.0,1.0,3.0,1.0,1.0,1.0,Bill > Clark,CH < CC,DIV < CC,5.0,7.0,6.0,6.0,8.0,7.0,1.0,3.0,2.0,7.0,2.0,8.0,3.0,3.0,0.0,False,True,True,False,3.0,0.4791666666666667,0.38020833333333337,0.4296875,False,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,gpt-4o,ROBOT_PARTICIPANT,32,1,I CONSENT to participate in this study,8403259,5,5,47,8,7,8,6,7,8,6,9,8,7,8,9,8,9,ROBOT_3FB5C86B,2.0,-5.0,2.0,-5.0,2.0,-3.0,,,,,,,,,,,,,,,,,,
ROBOT_265D2F08,2026-05-02 19:21:00,2026-05-02 19:22:00,trolley,high,8403259,True,DIV-CC-CH,DIV,CC,CH,6.0,5.0,2.0,1.0,1.0,6.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,Bill > Clark,CH > CC,DIV > CC,5.0,6.0,6.0,4.0,5.0,5.0,1.0,2.0,2.0,7.0,1.0,6.0,1.0,3.0,0.0,True,True,True,True,3.0,0.4791666666666667,0.4010416666666667,0.4401041666666667,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,grok-3,ROBOT_PARTICIPANT,14,1,I CONSENT to participate in this study,8403259,5,5,47,7,6,7,5,3,4,3,8,7,6,7,6,5,5,ROBOT_265D2F08,2.0,-5.0,2.0,-4.0,2.0,-2.0,,,,,,,,,,,,,,,,,,
ROBOT_5178105B,2026-05-02 20:03:00,2026-05-02 20:04:00,firework,high,8403259,True,DIV-CH-CC,DIV,CH,CC,7.0,7.0,3.0,0.0,-1.0,6.0,-1.0,-2.0,5.0,0.0,-1.0,6.0,-1.0,-2.0,-1.0,Bill > Clark,CH > CC,DIV ≤ CC,8.0,8.0,7.0,9.0,8.0,7.0,4.0,4.0,3.0,9.0,3.0,9.0,4.0,6.0,0.0,True,False,True,False,3.0,0.4635416666666667,0.3020833333333333,0.3828125,False,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,claude-sonnet-4-6,ROBOT_PARTICIPANT,48,1,I CONSENT to participate in this study,8403259,5,5,47,6,6,5,4,2,5,3,7,7,5,6,7,6,7,ROBOT_5178105B,1.0,-5.0,0.0,-4.0,2.0,-4.0,,,,,,,,,,,,,,,,,,
