inclusion_filter,story_condition,load_condition,analysis_scope,agent_role,dv,condition,n,mean,median,std
included_only,pooled,pooled,within_subjects_all_vignettes,distal,blame,CC,303,6.910891089108911,7.0,1.1829277566711818
included_only,pooled,pooled,within_subjects_all_vignettes,distal,blame,CH,303,7.508250825082508,8.0,1.060627973640079
included_only,pooled,pooled,within_subjects_all_vignettes,distal,blame,DIV,303,7.122112211221122,7.0,1.196686717545461
included_only,pooled,pooled,within_subjects_all_vignettes,distal,wrong,CC,303,6.8316831683168315,7.0,1.3302589520156378
included_only,pooled,pooled,within_subjects_all_vignettes,distal,wrong,CH,303,7.399339933993399,8.0,1.1969606487509412
included_only,pooled,pooled,within_subjects_all_vignettes,distal,wrong,DIV,303,6.897689768976898,7.0,1.402255022622896
included_only,pooled,pooled,within_subjects_all_vignettes,distal,punish,CC,303,1.478932048343015,1.3862943611198906,0.6756052020305986
included_only,pooled,pooled,within_subjects_all_vignettes,distal,punish,CH,303,1.6606664921343164,1.791759469228055,0.6583144323730856
included_only,pooled,pooled,within_subjects_all_vignettes,distal,punish,DIV,303,1.5498367568924458,1.6094379124341003,0.7048647732929801
included_only,pooled,pooled,within_subjects_all_vignettes,proximate,blame,CC,303,8.151815181518153,8.0,0.8783950250506086
included_only,pooled,pooled,within_subjects_all_vignettes,proximate,blame,CH,303,1.7194719471947195,1.0,0.8824167512496186
included_only,pooled,pooled,within_subjects_all_vignettes,proximate,wrong,CC,303,8.066006600660065,8.0,1.0432372375117376
included_only,pooled,pooled,within_subjects_all_vignettes,proximate,wrong,CH,303,2.217821782178218,1.0,1.5775995706196582
included_only,pooled,pooled,within_subjects_all_vignettes,proximate,punish,CC,303,1.9522510330804907,1.9459101490553132,0.7527222084363921
included_only,pooled,pooled,within_subjects_all_vignettes,proximate,punish,CH,303,0.3243442553147842,0.0,0.5928376291709961
included_only,pooled,pooled,between_subjects_first_vignette,distal,blame,CC,116,6.844827586206897,7.0,0.8905635565617214
included_only,pooled,pooled,between_subjects_first_vignette,distal,blame,CH,82,7.634146341463414,8.0,0.5986032120530903
included_only,pooled,pooled,between_subjects_first_vignette,distal,blame,DIV,105,6.933333333333334,7.0,1.1030261405182866
included_only,pooled,pooled,between_subjects_first_vignette,distal,wrong,CC,116,6.844827586206897,7.0,0.928799583154066
included_only,pooled,pooled,between_subjects_first_vignette,distal,wrong,CH,82,7.646341463414634,8.0,0.9476670668634556
included_only,pooled,pooled,between_subjects_first_vignette,distal,wrong,DIV,105,6.352380952380952,6.0,1.4072678957479738
included_only,pooled,pooled,between_subjects_first_vignette,distal,punish,CC,116,1.4236638989805486,1.3862943611198906,0.5527173430979068
included_only,pooled,pooled,between_subjects_first_vignette,distal,punish,CH,82,1.642882664112857,1.791759469228055,0.4766723578315261
included_only,pooled,pooled,between_subjects_first_vignette,distal,punish,DIV,105,1.5065589815961364,1.791759469228055,0.6721352941682704
included_only,pooled,pooled,within_subjects_deltas,distal,blame,CH - CC,303,0.5973597359735974,1.0,0.8115023427450624
included_only,pooled,pooled,within_subjects_deltas,distal,blame,DIV - CC,303,0.21122112211221122,0.0,0.710567929243176
included_only,pooled,pooled,within_subjects_deltas,distal,blame,"MIN(CH, DIV) - CC",303,0.006600660066006601,0.0,0.7186880953585909
included_only,pooled,pooled,within_subjects_deltas,proximate,blame,CC - CH,303,6.432343234323432,6.0,0.9213491337006625
included_only,pooled,pooled,within_subjects_deltas,distal,wrong,CH - CC,303,0.5676567656765676,1.0,0.77707857619946
included_only,pooled,pooled,within_subjects_deltas,distal,wrong,DIV - CC,303,0.066006600660066,0.0,0.9147066768052197
included_only,pooled,pooled,within_subjects_deltas,distal,wrong,"MIN(CH, DIV) - CC",303,-0.0858085808580858,0.0,0.9202810125420008
included_only,pooled,pooled,within_subjects_deltas,proximate,wrong,CC - CH,303,5.848184818481848,6.0,1.3774634785006807
included_only,pooled,pooled,within_subjects_deltas,distal,punish,CH - CC,303,0.18173444379130163,0.27193371548364187,0.2842537650050772
included_only,pooled,pooled,within_subjects_deltas,distal,punish,DIV - CC,303,0.07090470854943072,0.0,0.2787427539874659
included_only,pooled,pooled,within_subjects_deltas,distal,punish,"MIN(CH, DIV) - CC",303,-0.016814421300472657,0.0,0.2601782631621632
included_only,pooled,pooled,within_subjects_deltas,proximate,punish,CC - CH,303,1.6279067777657064,1.3862943611198906,0.7086080200416112
