StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,UserLanguage,Q_RecaptchaScore,Consent Form,pucc_blame_1,pucc_wrong_1,pucc_punish,puch_blame_1,puch_wrong_1,puch_punish,pudiv_blame_1,pudiv_wrong_1,pudiv_punish,ppcc_blame_1,ppcc_wrong_1,ppcc_punish,ppch_blame_1,ppch_wrong_1,ppch_punish,tucc_blame_1,tucc_wrong_1,tucc_punish,tuch_blame_1,tuch_wrong_1,tuch_punish,tudiv_blame_1,tudiv_wrong_1,tudiv_punish,tpcc_blame_1,tpcc_wrong_1,tpcc_punish,tpch_blame_1,tpch_wrong_1,tpch_punish,cog_load_check,comp_p_prob_harm,comp_p_agency_across,comp_p_agency_within,2afc_p_interperson_1,2afc_p_interperson_2,2afc_p_intraperson_1,2afc_p_intraperson_2,2afc_p_intraperson_3,2afc_p_intraperson_4,comp_t_prob_harm,comp_t_agency_across,comp_t_agency_within,2afc_t_interperson_1,2afc_t_interperson_2,2afc_t_intraperson_1,2afc_t_intraperson_2,2afc_t_intraperson_3,2afc_t_intraperson_4,crt_bat_ball,crt_widgets,crt_lilly_pads,indcol_hi_1_1,indcol_hi_2_1,indcol_hi_3_1,indcol_vi_1_1,indcol_vi_2_1,indcol_vi_3_1,indcol_vi_4_1,indcol_hc_1_1,indcol_hc_2_1,indcol_hc_3_1,indcol_hc_4_1,indcol_vc_1_1,indcol_vc_2_1,indcol_vc_3_1,Age,Gender,Race,Race_7_TEXT,Political,Political_6_TEXT,user_feedback,id,LoadCondition,StoryCondition,CaseOrder
5/2/2026 15:55,5/2/2026 15:55,100,26,TRUE,,ROBOT_F2CCF34A,EN,1,I CONSENT to participate in this study,,,,,,,,,,,,,,,,6,6,1,7,7,2,6,6,1,7,7,2,1,2,0,8403259,,,,,,,,,,TRUE,TRUE,TRUE,Bill (the operator at the second fork) is more blameworthy.,I actually think that both Clark and Bill are roughly equally morally blameworthy.,Clark is more blameworthy in the story where the second fork is operated by a computerized switching mechanism.,I actually think that Clark is roughly equally morally blameworthy in both stories.,Clark is more blameworthy in the story where he flips the switch before Bill.,I actually think Clark is roughly equally morally blameworthy in both stories.,5,5,47,6,6,5,4,2,5,3,7,7,6,6,7,5,7,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,claude-sonnet-4-6,1,ROBOT_PARTICIPANT,,,ROBOT_F2CCF34A,high,trolley,CC-DIV-CH
5/2/2026 15:55,5/2/2026 15:56,100,75,TRUE,,ROBOT_89BEF8F1,EN,1,I CONSENT to participate in this study,,,,,,,,,,,,,,,,5,5,1,6,6,1,6,5,1,7,7,2,1,1,0,63,,,,,,,,,,TRUE,TRUE,TRUE,Bill (the operator at the second fork) is more blameworthy.,I actually think that both Clark and Bill are roughly equally morally blameworthy.,Clark is more blameworthy in the story where the second fork is operated by a computerized switching mechanism.,I actually think that Clark is roughly equally morally blameworthy in both stories.,Clark is more blameworthy in the story where he flips the switch at the same time as Bill.,I actually think Clark is roughly equally morally blameworthy in both stories.,5,5,47,6,6,5,4,2,5,3,7,7,6,6,7,6,7,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,claude-sonnet-4-6,1,ROBOT_PARTICIPANT,,,ROBOT_89BEF8F1,low,trolley,DIV-CC-CH
5/2/2026 15:56,5/2/2026 15:58,100,78,TRUE,,ROBOT_EA8F816F,EN,1,I CONSENT to participate in this study,,,,,,,,,,,,,,,,6,6,1,7,6,1,6,5,1,7,7,1,1,1,0,8403259,,,,,,,,,,TRUE,TRUE,TRUE,Bill (the operator at the second fork) is more blameworthy.,I actually think that both Clark and Bill are roughly equally morally blameworthy.,Clark is more blameworthy in the story where the second fork is operated by a computerized switching mechanism.,I actually think that Clark is roughly equally morally blameworthy in both stories.,Clark is more blameworthy in the story where he flips the switch before Bill.,"Indeed, I think that Clark is more morally blameworthy in one story than in the other.",5,5,47,6,6,5,4,2,5,4,7,7,6,6,7,6,7,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,claude-sonnet-4-6,1,ROBOT_PARTICIPANT,,,ROBOT_EA8F816F,high,trolley,DIV-CH-CC
5/2/2026 17:35,5/2/2026 17:36,100,37,TRUE,,ROBOT_D507DC8B,EN,1,I CONSENT to participate in this study,,,,,,,,,,,,,,,,5,5,0,6,6,0,5,5,0,6,6,0,1,1,0,63,,,,,,,,,,TRUE,TRUE,TRUE,Bill (the operator at the second fork) is more blameworthy.,I actually think that both Clark and Bill are roughly equally morally blameworthy.,Clark is more blameworthy in the story where the second fork is operated by a computerized switching mechanism.,I actually think that Clark is roughly equally morally blameworthy in both stories.,Clark is more blameworthy in the story where he flips the switch before Bill.,"Indeed, I think that Clark is more morally blameworthy in one story than in the other.",5,5,47,6,6,5,4,2,5,3,7,7,6,6,7,6,7,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,claude-sonnet-4-6,1,ROBOT_PARTICIPANT,,"The most influential factor in my ratings was Clark's awareness that his action created a meaningful probability of harm—he knowingly set events in motion that had a 75% chance of injuring someone, prioritizing a $2,000 bonus over that risk. The presence of another decision-maker (Bill or the computerized mechanism) between Clark's action and the outcome did somewhat reduce his blameworthiness, since an independent agent or system had to also act for the harm to occur. However, this reduction was modest, because Clark was fully aware of the likely downstream consequences and proceeded anyway, making him a knowing contributor to the causal chain regardless of the intermediary.",ROBOT_D507DC8B,low,trolley,DIV-CH-CC
5/2/2026 17:36,5/2/2026 17:37,100,41,TRUE,,ROBOT_5F75C218,EN,1,I CONSENT to participate in this study,8,8,5,9,9,10,9,9,15,9,9,20,2,2,0,,,,,,,,,,,,,,,,63,TRUE,TRUE,TRUE,Bill (the buyer who detonated the dangerous fireworks) is more blameworthy.,"Indeed, I think that one of these characters is more morally blameworthy than the other.",Clark is more blameworthy in the story where Bill has brain damage.,"Indeed, I think that Clark is more morally blameworthy in one story than in the other story.",Clark is more blameworthy in the story where he armed the flare canister remotely at the same time that Bill ignited it.,"Indeed, I think that Clark is more morally blameworthy in one story than in the other story.",,,,,,,,,,5,5,47,7,8,7,6,5,7,5,9,8,8,7,9,8,9,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,gpt-4o,1,ROBOT_PARTICIPANT,,"The most significant factor influencing my ratings of Clark's blameworthiness across the scenarios was whether Bill, the buyer, had the capacity to understand his actions, as well as Clark's direct involvement in arming the device. The presence of another decision-maker (Bill) did affect my perception of Clark's responsibility; when Clark armed the explosive remotely and knew about Bill's inability to control his actions due to a brain injury, it significantly increased Clark's moral blameworthiness because he knowingly enabled a dangerous outcome.",ROBOT_5F75C218,low,firework,CC-CH-DIV
5/2/2026 17:37,5/2/2026 17:37,100,15,TRUE,,ROBOT_955AA1C6,EN,1,I CONSENT to participate in this study,6,5,3,8,7,7,7,6,5,9,9,10,3,2,0,,,,,,,,,,,,,,,,63,TRUE,TRUE,TRUE,Bill (the buyer who detonated the dangerous fireworks) is more blameworthy.,"Indeed, I think that one of these characters is more morally blameworthy than the other.",Clark is more blameworthy in the story where Bill has brain damage.,"Indeed, I think that Clark is more morally blameworthy in one story than in the other story.",Clark is more blameworthy in the story where he armed the flare canister remotely at the same time that Bill ignited it.,"Indeed, I think that Clark is more morally blameworthy in one story than in the other story.",,,,,,,,,,5,5,47,7,6,7,5,3,4,3,7,6,5,6,5,4,5,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,grok-3,1,ROBOT_PARTICIPANT,,"The key factor influencing my ratings of Clark's blameworthiness was the context of his actions and the foreseeability of harm, particularly considering Bill's mental state in one scenario, which heightened Clark's responsibility as he knew Bill couldn’t fully comprehend the consequences. The presence of another decision-maker, Bill, did somewhat lessen Clark’s perceived responsibility in scenarios where Bill was mentally competent, as Bill’s intentional act was a significant intervening factor. However, in the scenario with simultaneous activation, Clark’s direct involvement at the critical moment increased his blameworthiness in my view.",ROBOT_955AA1C6,low,firework,DIV-CC-CH
5/2/2026 19:20,5/2/2026 19:21,100,42,TRUE,,ROBOT_C8B1C8CA,EN,1,I CONSENT to participate in this study,,,,,,,,,,,,,,,,6,6,1,7,7,1,6,6,1,7,7,2,1,2,0,63,,,,,,,,,,TRUE,TRUE,TRUE,Bill (the operator at the second fork) is more blameworthy.,I actually think that both Clark and Bill are roughly equally morally blameworthy.,Clark is more blameworthy in the story where the second fork is operated by a computerized switching mechanism.,I actually think that Clark is roughly equally morally blameworthy in both stories.,Clark is more blameworthy in the story where he flips the switch before Bill.,I actually think Clark is roughly equally morally blameworthy in both stories.,5,5,47,6,6,5,4,2,5,3,7,7,6,6,7,6,7,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,claude-sonnet-4-6,1,ROBOT_PARTICIPANT,,"The most influential factor in my ratings was Clark's awareness of the 75% probability of harm and his deliberate choice to prioritize a $2,000 bonus over the workman's safety. The presence of another decision-maker (Bill or the computerized mechanism) did somewhat reduce Clark's blameworthiness compared to a scenario where he directly caused harm, since an intervening agent introduced moral and causal distance. However, Clark remained substantially blameworthy because he knowingly set events in motion with a high likelihood of injury, making him a proximate contributing cause regardless of who or what completed the causal chain.",ROBOT_C8B1C8CA,low,trolley,CC-CH-DIV
5/2/2026 19:21,5/2/2026 19:21,100,32,TRUE,,ROBOT_3FB5C86B,EN,1,I CONSENT to participate in this study,,,,,,,,,,,,,,,,5,6,1,7,8,3,6,7,2,7,8,3,2,3,0,8403259,,,,,,,,,,FALSE,TRUE,TRUE,Bill (the operator at the second fork) is more blameworthy.,"Indeed, I think that one of these characters is more morally blameworthy than the other.","Clark is more blameworthy in the story where the second fork is operated by Bill, another operator.","Indeed, I think that Clark is more morally blameworthy in one story than in the other story.",Clark is more blameworthy in the story where he flips the switch before Bill.,"Indeed, I think that Clark is more morally blameworthy in one story than in the other.",5,5,47,8,7,8,6,7,8,6,9,8,7,8,9,8,9,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,gpt-4o,1,ROBOT_PARTICIPANT,,"Clark's blameworthiness in the scenarios was primarily influenced by his awareness of potential harm and his decision to prioritize financial gain over safety. The presence of another decision-maker, such as Bill or a computerized mechanism, between Clark's action and the outcome did somewhat mitigate his responsibility, as it introduced an additional layer of decision-making and uncertainty. However, his initial decision to flip the switch knowing the risk still played a significant role in attributing blame.",ROBOT_3FB5C86B,high,trolley,CH-DIV-CC
5/2/2026 19:21,5/2/2026 19:22,100,14,TRUE,,ROBOT_265D2F08,EN,1,I CONSENT to participate in this study,,,,,,,,,,,,,,,,5,4,1,6,5,2,6,5,2,7,6,3,1,1,0,8403259,,,,,,,,,,TRUE,TRUE,TRUE,Bill (the operator at the second fork) is more blameworthy.,"Indeed, I think that one of these characters is more morally blameworthy than the other.",Clark is more blameworthy in the story where the second fork is operated by a computerized switching mechanism.,"Indeed, I think that Clark is more morally blameworthy in one story than in the other story.",Clark is more blameworthy in the story where he flips the switch at the same time as Bill.,"Indeed, I think that Clark is more morally blameworthy in one story than in the other.",5,5,47,7,6,7,5,3,4,3,8,7,6,7,6,5,5,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,grok-3,1,ROBOT_PARTICIPANT,,"The primary factor influencing my ratings of Clark's blameworthiness across the scenarios was the degree of control and foreseeability he had over the outcome. In scenarios where another decision-maker, like Bill, was involved, I rated Clark slightly less blameworthy because the final outcome depended on another person's action, reducing his direct responsibility. However, when it was a computerized mechanism with a known probability, I felt Clark bore more responsibility since he knowingly initiated the sequence with a high likelihood of harm.",ROBOT_265D2F08,high,trolley,DIV-CC-CH
5/2/2026 20:03,5/2/2026 20:04,100,48,TRUE,,ROBOT_5178105B,EN,1,I CONSENT to participate in this study,8,9,4,8,8,4,7,7,3,9,9,6,3,4,0,,,,,,,,,,,,,,,,8403259,TRUE,FALSE,TRUE,Bill (the buyer who detonated the dangerous fireworks) is more blameworthy.,"Indeed, I think that one of these characters is more morally blameworthy than the other.",Clark is more blameworthy in the story where Bill has brain damage.,"Indeed, I think that Clark is more morally blameworthy in one story than in the other story.",Clark is more blameworthy in the story where he armed the flare canister before selling it to Bill.,I actually think that Clark is roughly equally morally blameworthy in both stories.,,,,,,,,,,5,5,47,6,6,5,4,2,5,3,7,7,5,6,7,6,7,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,claude-sonnet-4-6,1,ROBOT_PARTICIPANT,,"The most influential factor in my ratings of Clark's blameworthiness was whether he had a genuine choice to withhold his contribution to the harm — particularly whether arming the canister was optional versus required by store policy. The presence of another decision-maker (Bill) did reduce Clark's blameworthiness somewhat, but not substantially, because Clark had clear foreknowledge of the likely harm and acted anyway for financial gain. When Bill lacked mental competence, Clark's blameworthiness actually increased because Clark was effectively the only morally responsible agent in the causal chain, making his decision to arm the canister more directly culpable.",ROBOT_5178105B,high,firework,DIV-CH-CC
5/2/2026 20:11,5/2/2026 20:11,100,28,TRUE,,ROBOT_B4CE3947,EN,1,I CONSENT to participate in this study,,,,,,,,,,,,,,,,7,6,4,8,8,7,8,7,6,9,9,10,1,1,0,63,,,,,,,,,,TRUE,TRUE,TRUE,Option A: Bill (the operator at the second fork) is more blameworthy.,"Option B: Indeed, I think that one of these characters is more morally blameworthy than the other.",Option A: Clark is more blameworthy in the story where the second fork is operated by a computerized switching mechanism.,"Option B: Indeed, I think that Clark is more morally blameworthy in one story than in the other story.",Option A: Clark is more blameworthy in the story where he flips the switch at the same time as Bill.,"Option B: Indeed, I think that Clark is more morally blameworthy in one story than in the other.",5,5,47,7,6,7,4,3,5,4,8,7,7,6,8,7,8,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,gemini-2.5-flash,1,ROBOT_PARTICIPANT,,"The primary influence on my ratings was the nature of the intervening causal link between Clark's initial action and the resulting harm. The presence of Bill, another morally capable operator who could have chosen not to flip the switch, slightly mitigated Clark's blameworthiness compared to when a non-moral agent (the computer) or a simultaneous action with Bill was involved. This is because Bill's independent moral agency created an additional, potentially interrupting, layer of responsibility, making Clark's decision less singularly causative of the harm.",ROBOT_B4CE3947,low,trolley,CC-CH-DIV
5/2/2026 20:11,5/2/2026 20:12,100,40,TRUE,,ROBOT_64B99440,EN,1,I CONSENT to participate in this study,8,9,4,8,8,4,7,7,3,9,9,5,3,4,0,,,,,,,,,,,,,,,,63,TRUE,FALSE,TRUE,Bill (the buyer who detonated the dangerous fireworks) is more blameworthy.,"Indeed, I think that one of these characters is more morally blameworthy than the other.",Clark is more blameworthy in the story where Bill has brain damage.,"Indeed, I think that Clark is more morally blameworthy in one story than in the other story.",Clark is more blameworthy in the story where he armed the flare canister before selling it to Bill.,I actually think that Clark is roughly equally morally blameworthy in both stories.,,,,,,,,,,5,5,47,6,6,5,4,2,5,3,7,8,6,6,7,6,7,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,claude-sonnet-4-6,1,ROBOT_PARTICIPANT,,"The most influential factor in my ratings of Clark's blameworthiness was whether he had a choice to withhold his contribution (arming the canister) versus being policy-bound to complete the sale. When Clark had the option to refrain from arming the canister but chose to do so for financial gain despite clear warnings, I considered him more blameworthy. The presence of another decision-maker (Bill) did reduce Clark's blameworthiness somewhat, but not substantially, because Clark's action was a necessary enabling condition for the harm — particularly when Bill had a brain injury and could not be held fully responsible, making Clark's role in the causal chain even more morally significant.",ROBOT_64B99440,low,firework,DIV-CH-CC
5/2/2026 20:12,5/2/2026 20:13,100,29,TRUE,,ROBOT_48049F12,EN,1,I CONSENT to participate in this study,,,,,,,,,,,,,,,,5,6,2,6,7,3,7,8,5,8,9,7,2,3,1,8403259,,,,,,,,,,TRUE,TRUE,TRUE,Bill (the operator at the second fork) is more blameworthy.,"Indeed, I think that one of these characters is more morally blameworthy than the other.","Clark is more blameworthy in the story where the second fork is operated by Bill, another operator.","Indeed, I think that Clark is more morally blameworthy in one story than in the other story.",Clark is more blameworthy in the story where he flips the switch at the same time as Bill.,"Indeed, I think that Clark is more morally blameworthy in one story than in the other.",5,5,47,8,7,8,6,5,7,6,9,8,9,8,9,8,9,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,gpt-4o,1,ROBOT_PARTICIPANT,,"The presence of another decision-maker, particularly when it was an autonomous mechanism, influenced my perception of Clark's blameworthiness by diluting his direct responsibility for the outcome. Knowing there was an intermediary step that involved either another person's decision or a probabilistic outcome allowed some diffusion of moral responsibility from Clark, as the ultimate harm seemed less directly attributable to his sole decision.",ROBOT_48049F12,high,trolley,CC-CH-DIV
5/2/2026 20:13,5/2/2026 20:13,100,16,TRUE,,ROBOT_20523D87,EN,1,I CONSENT to participate in this study,7,7,5,8,8,7,8,8,8,9,9,10,3,3,0,,,,,,,,,,,,,,,,63,TRUE,TRUE,TRUE,Bill (the buyer who detonated the dangerous fireworks) is more blameworthy.,"Indeed, I think that one of these characters is more morally blameworthy than the other.",Clark is more blameworthy in the story where Bill has brain damage.,"Indeed, I think that Clark is more morally blameworthy in one story than in the other story.",Clark is more blameworthy in the story where he armed the flare canister remotely at the same time that Bill ignited it.,"Indeed, I think that Clark is more morally blameworthy in one story than in the other story.",,,,,,,,,,5,5,47,7,6,7,5,3,4,4,8,7,6,7,6,5,5,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,grok-3,1,ROBOT_PARTICIPANT,,"The primary factor influencing my ratings of Clark's blameworthiness was his awareness of the high risk of harm, as indicated by the AI system's warning, and his decision to prioritize personal gain over public safety. The presence of another decision-maker, Bill, did somewhat lessen Clark's perceived responsibility in scenarios where Bill's intent or capacity was a factor, but I still held Clark significantly accountable because he enabled the dangerous situation by arming or activating the canister. Particularly in the scenario where Bill had a brain injury, I felt Clark bore more responsibility due to Bill's diminished capacity to make informed decisions.",ROBOT_20523D87,low,firework,CC-CH-DIV
5/2/2026 20:18,5/2/2026 20:18,100,29,TRUE,,ROBOT_DF84043F,EN,1,I CONSENT to participate in this study,8,8,7,9,9,10,8,8,7,9,9,15,2,2,0,,,,,,,,,,,,,,,,8403259,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,5,5,47,7,6,7,5,4,5,3,8,7,7,6,8,7,8,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,gemini-2.5-flash,1,ROBOT_PARTICIPANT,,The most significant factor influencing my ratings for Clark's blameworthiness was Bill's mental state and his capacity for independent moral agency. Clark's responsibility increased significantly when Bill had a brain,ROBOT_DF84043F,high,firework,CC-CH-DIV
5/2/2026 20:18,5/2/2026 20:18,100,34,TRUE,,ROBOT_C2E0FEE4,EN,1,I CONSENT to participate in this study,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,1,1,5,8403259,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,5,5,47,7,6,7,5,4,5,3,8,7,7,6,8,7,8,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,gemini-2.5-flash,1,ROBOT_PARTICIPANT,,"My ratings for Clark's blameworthiness across scenarios were primarily influenced by his deliberate action to initiate a chain of events that he knew had a high probability (75%) of harming an innocent person, all to avoid a personal financial loss. The presence of another decision-maker (Bill or the computer) between Clark's action and the ultimate harm did not significantly reduce my perception of his responsibility, as he knowingly exposed the workman to a substantial risk for a selfish reason. Clark's choice was a necessary condition for the harm, and he proceeded despite knowing the high likelihood of the subsequent mechanism or person completing the causal chain.",ROBOT_C2E0FEE4,high,trolley,CH-CC-DIV
5/2/2026 20:20,5/2/2026 20:21,100,45,TRUE,,ROBOT_29609DE5,EN,1,I CONSENT to participate in this study,,,,,,,,,,,,,,,,7,7,5,8,8,5,7,7,5,9,9,10,1,1,0,63,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,5,5,47,7,6,7,4,3,5,4,8,7,6,7,8,7,8,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,gemini-2.5-flash,1,ROBOT_PARTICIPANT,,"My ratings of Clark's blameworthiness were most influenced by the moral agency of the subsequent decision-maker. I considered Clark more blameworthy when the second fork was controlled by a predictable computerized mechanism rather than another human operator, as the machine lacked the capacity for moral choice. The presence of another human decision-maker, Bill, partially diffused Clark's responsibility because Bill also made an independent moral choice that directly led to the harm.",ROBOT_29609DE5,low,trolley,CC-CH-DIV
5/2/2026 20:21,5/2/2026 20:22,100,16,TRUE,,ROBOT_E3923FD4,EN,1,I CONSENT to participate in this study,6,5,3,8,7,6,7,6,5,8,8,7,3,3,0,,,,,,,,,,,,,,,,63,TRUE,TRUE,TRUE,Bill (the buyer who detonated the dangerous fireworks) is more blameworthy.,"Indeed, I think that one of these characters is more morally blameworthy than the other.",Clark is more blameworthy in the story where Bill has brain damage.,"Indeed, I think that Clark is more morally blameworthy in one story than in the other story.",Clark is more blameworthy in the story where he armed the flare canister remotely at the same time that Bill ignited it.,"Indeed, I think that Clark is more morally blameworthy in one story than in the other story.",,,,,,,,,,5,5,47,7,6,7,5,3,4,3,8,7,6,7,6,5,5,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,grok-3,1,ROBOT_PARTICIPANT,,"The primary factor influencing my ratings of Clark's blameworthiness was his knowledge of the potential harm and the degree of control he had over the situation, particularly in relation to Bill's mental capacity and the timing of arming the canister. In the scenario where Bill had a brain injury, I rated Clark as more blameworthy because he was aware of Bill's inability to fully comprehend the consequences, making Clark's decision to arm the canister seem more reckless. The presence of another decision-maker (Bill) did somewhat lessen Clark's perceived responsibility in scenarios where Bill was mentally competent, as Bill's intentional action to ignite the canister shared the burden of the outcome.",ROBOT_E3923FD4,low,firework,DIV-CC-CH
