Story Condition,Condition,Blame First Vignette,Wrong First Vignette,Punish First Vignette,Blame All Vignettes,Wrong All Vignettes,Punish All Vignettes
Pooled,CC Proximate,,,,7.5,7.5,1.3887982447363265
Pooled,CH Distal,,,,7.166666666666667,6.833333333333333,1.1603739107110345
Pooled,DIV Distal,6.0,5.25,0.7945134575869863,6.5,6.0,1.1072982888579455
Pooled,CC Distal,7.0,7.0,1.2424533248940002,6.0,5.833333333333333,0.876249228671297
Pooled,CH Proximate,,,,1.5,1.5,0.0
Firework,CC Proximate,,,,9.0,9.0,2.7212088552608966
Firework,CH Distal,,,,8.5,8.0,2.2386684072391034
Firework,DIV Distal,7.0,6.0,1.791759469228055,8.0,7.5,2.282174095733918
Firework,CC Distal,8.0,8.0,1.791759469228055,7.0,6.5,1.5890269151739727
Firework,CH Proximate,,,,2.5,2.0,0.0
Trolley,CC Proximate,,,,6.75,6.75,0.7225929394740412
Trolley,CH Distal,,,,6.5,6.25,0.6212266624470001
Trolley,DIV Distal,5.666666666666667,5.0,0.46209812037329684,5.75,5.25,0.5198603854199589
Trolley,CC Distal,6.0,6.0,0.6931471805599453,5.5,5.5,0.5198603854199589
Trolley,CH Proximate,,,,1.0,1.25,0.0
