,,First Vignette,First Vignette,First Vignette,All Vignettes,All Vignettes,All Vignettes
Story Condition,Condition,Blame,Wrong,Punish,Blame,Wrong,Punish
Pooled,CC Proximate,—,—,—,7.50,7.50,1.39
Pooled,CH Distal,—,—,—,7.17,6.83,1.16
Pooled,DIV Distal,6.00,5.25,0.79,6.50,6.00,1.11
Pooled,CC Distal,7.00,7.00,1.24,6.00,5.83,0.88
Pooled,CH Proximate,—,—,—,1.50,1.50,0.00
Firework,CC Proximate,—,—,—,9.00,9.00,2.72
Firework,CH Distal,—,—,—,8.50,8.00,2.24
Firework,DIV Distal,7.00,6.00,1.79,8.00,7.50,2.28
Firework,CC Distal,8.00,8.00,1.79,7.00,6.50,1.59
Firework,CH Proximate,—,—,—,2.50,2.00,0.00
Trolley,CC Proximate,—,—,—,6.75,6.75,0.72
Trolley,CH Distal,—,—,—,6.50,6.25,0.62
Trolley,DIV Distal,5.67,5.00,0.46,5.75,5.25,0.52
Trolley,CC Distal,6.00,6.00,0.69,5.50,5.50,0.52
Trolley,CH Proximate,—,—,—,1.00,1.25,0.00
