Inclusion,DV,Story Family,Model,Design,Contrast,Estimate,95% CI,p-value
Included,Blame,Pooled,claude-sonnet-4-6,Between-subj,CH - CC,1.28,"[1.05, 1.51]",1.37e-09
Included,Blame,Pooled,claude-sonnet-4-6,Between-subj,DIV - CC,-0.47,"[-0.82, -0.11]",0.0135
Included,Blame,Pooled,claude-sonnet-4-6,Within-subj,CH - CC,0.88,"[0.72, 1.04]",9.66e-16
Included,Blame,Pooled,claude-sonnet-4-6,Within-subj,DIV - CC,0.2,"[0.09, 0.32]",9.03e-04
Included,Blame,Firework,claude-sonnet-4-6,Between-subj,CH - CC,,,
Included,Blame,Firework,claude-sonnet-4-6,Between-subj,DIV - CC,,,
Included,Blame,Firework,claude-sonnet-4-6,Within-subj,CH - CC,-0.67,"[-1.52, 0.19]",0.1019
Included,Blame,Firework,claude-sonnet-4-6,Within-subj,DIV - CC,-0.17,"[-0.60, 0.26]",0.3632
Included,Blame,Trolley,claude-sonnet-4-6,Between-subj,CH - CC,1.0,,0.00e+00
Included,Blame,Trolley,claude-sonnet-4-6,Between-subj,DIV - CC,-0.57,"[-0.87, -0.27]",0.0011
Included,Blame,Trolley,claude-sonnet-4-6,Within-subj,CH - CC,1.06,"[0.99, 1.12]",1.57e-36
Included,Blame,Trolley,claude-sonnet-4-6,Within-subj,DIV - CC,0.25,"[0.13, 0.37]",1.40e-04
Included,Wrong,Pooled,claude-sonnet-4-6,Between-subj,CH - CC,1.28,"[1.05, 1.51]",1.37e-09
Included,Wrong,Pooled,claude-sonnet-4-6,Between-subj,DIV - CC,-0.87,"[-1.15, -0.58]",1.40e-05
Included,Wrong,Pooled,claude-sonnet-4-6,Within-subj,CH - CC,0.83,"[0.66, 1.01]",2.22e-13
Included,Wrong,Pooled,claude-sonnet-4-6,Within-subj,DIV - CC,0.12,"[-0.02, 0.26]",0.0897
Included,Wrong,Firework,claude-sonnet-4-6,Between-subj,CH - CC,,,
Included,Wrong,Firework,claude-sonnet-4-6,Between-subj,DIV - CC,,,
Included,Wrong,Firework,claude-sonnet-4-6,Within-subj,CH - CC,-0.67,"[-1.52, 0.19]",0.1019
Included,Wrong,Firework,claude-sonnet-4-6,Within-subj,DIV - CC,-0.17,"[-0.60, 0.26]",0.3632
Included,Wrong,Trolley,claude-sonnet-4-6,Between-subj,CH - CC,1.0,,0.00e+00
Included,Wrong,Trolley,claude-sonnet-4-6,Between-subj,DIV - CC,-1.0,,0.00e+00
Included,Wrong,Trolley,claude-sonnet-4-6,Within-subj,CH - CC,1.0,"[0.89, 1.11]",1.36e-24
Included,Wrong,Trolley,claude-sonnet-4-6,Within-subj,DIV - CC,0.15,"[0.00, 0.30]",0.0444
Included,Punish,Pooled,claude-sonnet-4-6,Between-subj,CH - CC,1.78,"[1.13, 2.43]",2.29e-05
Included,Punish,Pooled,claude-sonnet-4-6,Between-subj,DIV - CC,-0.4,"[-0.86, 0.06]",0.0824
Included,Punish,Pooled,claude-sonnet-4-6,Within-subj,CH - CC,0.51,"[0.29, 0.73]",1.90e-05
Included,Punish,Pooled,claude-sonnet-4-6,Within-subj,DIV - CC,0.17,"[0.05, 0.29]",0.0064
Included,Punish,Firework,claude-sonnet-4-6,Between-subj,CH - CC,,,
Included,Punish,Firework,claude-sonnet-4-6,Between-subj,DIV - CC,,,
Included,Punish,Firework,claude-sonnet-4-6,Within-subj,CH - CC,-1.33,"[-2.60, -0.06]",0.0429
Included,Punish,Firework,claude-sonnet-4-6,Within-subj,DIV - CC,0.33,"[-0.75, 1.42]",0.4650
Included,Punish,Trolley,claude-sonnet-4-6,Between-subj,CH - CC,1.0,,0.00e+00
Included,Punish,Trolley,claude-sonnet-4-6,Between-subj,DIV - CC,-0.57,"[-0.87, -0.27]",0.0011
Included,Punish,Trolley,claude-sonnet-4-6,Within-subj,CH - CC,0.72,"[0.59, 0.84]",7.21e-16
Included,Punish,Trolley,claude-sonnet-4-6,Within-subj,DIV - CC,0.15,"[0.05, 0.25]",0.0037
Included,Blame,Pooled,gemini-2.5-flash,Between-subj,CH - CC,0.59,"[0.33, 0.86]",4.39e-05
Included,Blame,Pooled,gemini-2.5-flash,Between-subj,DIV - CC,0.19,"[-0.14, 0.52]",0.2558
Included,Blame,Pooled,gemini-2.5-flash,Within-subj,CH - CC,0.43,"[0.31, 0.56]",4.96e-10
Included,Blame,Pooled,gemini-2.5-flash,Within-subj,DIV - CC,0.01,"[-0.08, 0.11]",0.8200
Included,Blame,Firework,gemini-2.5-flash,Between-subj,CH - CC,0.53,"[0.07, 0.98]",0.0285
Included,Blame,Firework,gemini-2.5-flash,Between-subj,DIV - CC,0.04,"[-0.22, 0.31]",0.7392
Included,Blame,Firework,gemini-2.5-flash,Within-subj,CH - CC,0.44,"[0.22, 0.66]",2.81e-04
Included,Blame,Firework,gemini-2.5-flash,Within-subj,DIV - CC,0.1,"[-0.06, 0.27]",0.2100
Included,Blame,Trolley,gemini-2.5-flash,Between-subj,CH - CC,0.61,"[0.36, 0.86]",5.18e-05
