Story Condition,Condition,Blame First Vignette,Wrong First Vignette,Punish First Vignette,Blame All Vignettes,Wrong All Vignettes,Punish All Vignettes
Pooled,CC Proximate,,,,7.624113475177305,7.723404255319149,2.147856784500406
Pooled,CH Distal,6.817204301075269,6.795698924731183,1.7455976173140777,7.0638297872340425,7.042553191489362,1.7764935337967678
Pooled,DIV Distal,6.457446808510638,6.25531914893617,1.4669069461644928,6.663120567375887,6.595744680851064,1.6783532800698744
Pooled,CC Distal,5.7894736842105265,6.368421052631579,1.3612391346195445,6.060283687943262,6.23404255319149,1.4297862765812284
Pooled,CH Proximate,,,,5.152482269503546,5.73404255319149,1.3718302443693573
Firework,CC Proximate,,,,7.904761904761905,7.850340136054422,2.0533261828725755
Firework,CH Distal,6.78,6.6,1.519781538042755,7.129251700680272,6.993197278911564,1.5546040689912848
Firework,DIV Distal,6.1,5.5,1.0650962238149606,6.63265306122449,6.2312925170068025,1.4003818492794067
Firework,CC Distal,5.446808510638298,6.170212765957447,0.909455679401351,5.91156462585034,5.931972789115647,1.1235939670439623
Firework,CH Proximate,,,,5.639455782312925,6.346938775510204,1.4973764826584042
Trolley,CC Proximate,,,,7.318518518518519,7.5851851851851855,2.2507901062729316
Trolley,CH Distal,6.8604651162790695,7.023255813953488,2.0081744536760806,6.992592592592593,7.0962962962962965,2.0181065065849606
Trolley,DIV Distal,6.863636363636363,7.113636363636363,1.9235100397435068,6.696296296296296,6.992592592592593,1.9810332824861618
Trolley,CC Distal,6.125,6.5625,1.8036104345206925,6.222222222222222,6.562962962962963,1.7631956802995843
Trolley,CH Proximate,,,,4.622222222222222,5.066666666666666,1.2351243404546175
