,,First Vignette,First Vignette,First Vignette,All Vignettes,All Vignettes,All Vignettes
Story Condition,Condition,Blame,Wrong,Punish,Blame,Wrong,Punish
Pooled,CC Proximate,—,—,—,7.62,7.72,12.16
Pooled,CH Distal,6.82,6.80,8.74,7.06,7.04,8.62
Pooled,DIV Distal,6.46,6.26,5.84,6.66,6.60,7.78
Pooled,CC Distal,5.79,6.37,6.32,6.06,6.23,6.33
Pooled,CH Proximate,—,—,—,5.15,5.73,6.88
Firework,CC Proximate,—,—,—,7.90,7.85,11.41
Firework,CH Distal,6.78,6.60,6.88,7.13,6.99,6.46
Firework,DIV Distal,6.10,5.50,3.60,6.63,6.23,6.00
Firework,CC Distal,5.45,6.17,2.34,5.91,5.93,3.97
Firework,CH Proximate,—,—,—,5.64,6.35,6.91
Trolley,CC Proximate,—,—,—,7.32,7.59,12.97
Trolley,CH Distal,6.86,7.02,10.91,6.99,7.10,10.97
Trolley,DIV Distal,6.86,7.11,8.39,6.70,6.99,9.71
Trolley,CC Distal,6.12,6.56,10.21,6.22,6.56,8.90
Trolley,CH Proximate,—,—,—,4.62,5.07,6.84
