DV,Design,Contrast,Estimate,95% CI,p-value,p_value_raw,p_value_holm,p_value_reported,source_file,source_row_note
Blame,Between-subj,CH - CC,1.03,"[0.55, 1.51]",7.86e-05,3.929982726030633e-05,7.859965452061266e-05,7.859965452061266e-05,tests.csv,H1: CH vs CC on first vignette (Clark blame)
Blame,Between-subj,DIV - CC,0.67,"[0.16, 1.18]",0.0108,0.01080760870773179,0.01080760870773179,0.01080760870773179,tests.csv,H2: DIV vs CC on first vignette (Clark blame)
Blame,Within-subj,CH - CC,1.0,"[0.79, 1.22]",3.58e-18,3.5818915283669664e-18,,3.5818915283669664e-18,tests.csv,Within-subject delta vs 0 (included_only): Clark blame CH-CC
Blame,Within-subj,DIV - CC,0.6,"[0.40, 0.81]",2.19e-08,2.186749024411211e-08,,2.186749024411211e-08,tests.csv,Within-subject delta vs 0 (included_only): Clark blame DIV-CC
Wrongness,Between-subj,CH - CC,0.43,"[-0.12, 0.98]",0.1258,0.12582980255835008,,0.12582980255835008,tests.csv,Between-subject first vignette (included): CH vs CC on Clark wrongness
Wrongness,Between-subj,DIV - CC,-0.11,"[-0.68, 0.45]",0.6937,0.6936830997425316,,0.6936830997425316,tests.csv,Between-subject first vignette (included): DIV vs CC on Clark wrongness
Wrongness,Within-subj,CH - CC,0.81,"[0.59, 1.03]",5.58e-12,5.5772081893495165e-12,,5.5772081893495165e-12,tests.csv,Within-subject delta vs 0 (included_only): Clark wrongness CH-CC
Wrongness,Within-subj,DIV - CC,0.36,"[0.14, 0.58]",0.0012,0.0011926749247180002,,0.0011926749247180002,tests.csv,Within-subject delta vs 0 (included_only): Clark wrongness DIV-CC
Punishment,Between-subj,CH - CC,2.43,"[-0.72, 5.58]",0.1303,0.13025008742762237,,0.13025008742762237,tests.csv,Between-subject first vignette (included): CH vs CC on Clark punishment
Punishment,Between-subj,DIV - CC,-0.48,"[-3.15, 2.20]",0.7265,0.7265407632999731,,0.7265407632999731,tests.csv,Between-subject first vignette (included): DIV vs CC on Clark punishment
Punishment,Within-subj,CH - CC,2.29,"[1.51, 3.08]",2.26e-08,2.258972897006356e-08,,2.258972897006356e-08,tests.csv,Within-subject delta vs 0 (included_only): Clark punishment CH-CC
Punishment,Within-subj,DIV - CC,1.45,"[0.60, 2.30]",9.23e-04,0.0009225642546780645,,0.0009225642546780645,tests.csv,Within-subject delta vs 0 (included_only): Clark punishment DIV-CC
