DV,Story Family,Design,Contrast,Estimate,95% CI,p_value_one_tailed,p_value_two_tailed,p-value,p_value_holm,p_value_displayed,source_file,meaning
Blame,Pooled,Between-subj,CH - CC,1.03,"[0.54, 1.51]",2.0481505203068367e-05,4.0963010406136734e-05,8.19e-05,8.192602081227347e-05,8.192602081227347e-05,tests.csv,"Confirmatory between subjects comparison on blameworthiness for the distal agent Clark. Contrast type: CH - CC. Participants: included only. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type. Model formula: first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')). Covariance type: classical. Holm correction in p_value_holm is always based on the preregistered two-tailed confirmatory p-values."
Blame,Pooled,Between-subj,DIV - CC,0.67,"[0.18, 1.15]",0.0035040049818008596,0.007008009963601719,0.0070,0.007008009963601719,0.007008009963601719,tests.csv,"Confirmatory between subjects comparison on blameworthiness for the distal agent Clark. Contrast type: DIV - CC. Participants: included only. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type. Model formula: first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')). Covariance type: classical. Holm correction in p_value_holm is always based on the preregistered two-tailed confirmatory p-values."
Blame,Pooled,Within-subj,CH - CC,1.0,"[0.79, 1.22]",1.7909457641834832e-18,3.5818915283669664e-18,1.79e-18,,1.7909457641834832e-18,tests.csv,Exploratory within subjects comparison on blameworthiness for the distal agent Clark. Contrast type: CH - CC. Participants: included only. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Blame,Pooled,Within-subj,DIV - CC,0.6,"[0.40, 0.81]",1.0933745122056055e-08,2.186749024411211e-08,1.09e-08,,1.0933745122056055e-08,tests.csv,Exploratory within subjects comparison on blameworthiness for the distal agent Clark. Contrast type: DIV - CC. Participants: included only. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Blame,Firework,Between-subj,CH - CC,1.33,"[0.65, 2.02]",0.00010448516749680305,0.0002089703349936061,1.04e-04,,0.00010448516749680305,tests.csv,Exploratory between subjects comparison on blameworthiness for the distal agent Clark. Contrast type: CH - CC. Participants: included only. Story family: firework. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Blame,Firework,Between-subj,DIV - CC,0.65,"[-0.10, 1.40]",0.04365951223099081,0.08731902446198161,0.0437,,0.04365951223099081,tests.csv,Exploratory between subjects comparison on blameworthiness for the distal agent Clark. Contrast type: DIV - CC. Participants: included only. Story family: firework. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Blame,Firework,Within-subj,CH - CC,1.22,"[0.96, 1.48]",2.134032499377332e-16,4.268064998754664e-16,2.13e-16,,2.134032499377332e-16,tests.csv,Exploratory within subjects comparison on blameworthiness for the distal agent Clark. Contrast type: CH - CC. Participants: included only. Story family: firework. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Blame,Firework,Within-subj,DIV - CC,0.72,"[0.45, 0.99]",1.9877582041580735e-07,3.975516408316147e-07,1.99e-07,,1.9877582041580735e-07,tests.csv,Exploratory within subjects comparison on blameworthiness for the distal agent Clark. Contrast type: DIV - CC. Participants: included only. Story family: firework. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Blame,Trolley,Between-subj,CH - CC,0.74,"[0.05, 1.42]",0.01765588692980163,0.03531177385960326,0.0177,,0.01765588692980163,tests.csv,Exploratory between subjects comparison on blameworthiness for the distal agent Clark. Contrast type: CH - CC. Participants: included only. Story family: trolley. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
Blame,Trolley,Between-subj,DIV - CC,0.74,"[0.06, 1.42]",0.01634460092985305,0.0326892018597061,0.0163,,0.01634460092985305,tests.csv,Exploratory between subjects comparison on blameworthiness for the distal agent Clark. Contrast type: DIV - CC. Participants: included only. Story family: trolley. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.
